Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SHIMIZU Kunihiro,,,1.0,1.0,0.0,1.0,,,1.0,0.33,3.0,,,3.0,,,,,,,,,,,,1,,,-,,
ONODERA Taishi,1.0,,7.0,8.0,0.33,3.0,2.0,2.0,7.0,1.0,5.0,1,,6.0,,1.0,,1.0,2.0,,,,,,, 2,3.0,1.0,,4.0,1.0
YAMAUCHI Akihiro,,1.0,10.0,11.0,0.0,3.0,5.0,2.0,10.0,1.0,4.0,,3.0,7.0,,,1.0,,1.0,,,,1.0,1.0,0.0, 6,,3.0,1,4.0,0.0
NISHIDA Yuji,1.0,5.0,5.0,11.0,0.33,1.0,2.0,1.0,4.0,0.33,6.0,3,7.0,16.0,18.75,,,,,,,,1.0,1.0,0.0,11,2.0,3.0,,5.0,0.67
SEKITA Masahiro,1.0,2.0,15.0,18.0,0.33,,1.0,,1.0,0.0,,-,,,,,,,,,29.0,,20.0,49.0,9.67,12,3.0,,- 3,6.0,1.0
ISHIKAWA Yuki,1.0,4.0,5.0,10.0,0.33,1.0,3.0,1.0,5.0,0.33,13.0,1,6.0,20.0,60.0,,1.0,3.0,4.0,,,,3.0,3.0,0.0,14,4.0,1.0,1,6.0,1.33
RI Haku,,,,,,,2.0,,2.0,0.0,1.0,,,1.0,,,,,,,,,,,,15,,,-,,
TAKANASHI Kenta,,,,,,,1.0,,1.0,0.0,,-,1.0,1.0,,,,,,,,,,,,17,,,-,,
OTSUKA Tatsunori,,,,,,,,,,,,-,,,,,,,,,,,,,,19,,,-,,
YAMAMOTO Tomohiro,,,,,,,,,,,,-,,,,8.0,,2.0,10.0,,3.0,,,3.0,1.0,20,6.0,3.0,,9.0,2.0
TAKAHASHI Ran,,3.0,12.0,15.0,0.0,1.0,4.0,2.0,7.0,0.33,10.0,,4.0,14.0,71.43,18.0,1.0,9.0,28.0,64.29,1.0,,1.0,2.0,0.33,21,4.0,1.0,,5.0,1.33
FUJII Naonobu,,,,,,,,,,,,-,,,,,,,,,7.0,,1.0,8.0,2.33,3,,,-,,
,total,15.0,55.0,74.0,1.33,10.0,20.0,8.0,38.0,3.33,42.0,5,21.0,68.0,54.41,27.0,3.0,15.0,45.0,60.0,40.0,,27.0,67.0,13.33,ls,22.0,12.0,5,39.0,7.33
