No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 9,LEON VENERO Wilfredo,6.0,2.0,1.0,9.0,2.0,33.0,,20.0,53.0,11.0,10.0,2.0,4.0,16.0,62.5,11.0,,6.0,17.0,64.71,5.0,,3.0,8.0,1.67,5.0,,13.0,18.0,1.67
17,ZATORSKI Pawel,5.0,7.0,,12.0,1.67,2.0,,1.0,3.0,0.67,6.0,2.0,6.0,14.0,42.86,10.0,2,3.0,15.0,53.33,4.0,3.0,5.0,12.0,1.33,1.0,2,9.0,12.0,0.33
13,KUBIAK Michal,4.0,,,4.0,1.33,2.0,,,2.0,0.67,4.0,,8.0,12.0,33.33,3.0,2,6.0,11.0,9.09,1.0,2.0,1.0,4.0,0.33,1.0,4,6.0,11.0,0.33
 6,KUREK Bartosz,1.0,2.0,2.0,5.0,0.33,1.0,,1.0,2.0,0.33,1.0,,1.0,2.0,,8.0,,,8.0,,1.0,2.0,1.0,4.0,0.33,,- 3,9.0,12.0,0.0
15,KOCHANOWSKI Jakub,1.0,3.0,1.0,5.0,0.33,1.0,,,1.0,0.33,,,,,,4.0,1,1.0,6.0,,1.0,2.0,1.0,4.0,0.33,,- 1,10.0,11.0,0.0
11,DRZYZGA Fabian,1.0,2.0,1.0,4.0,0.33,,,,,,,,,,,3.0,,1.0,4.0,,1.0,,1.0,2.0,0.33,,- 3,3.0,6.0,0.0
20,BIENIEK Mateusz,1.0,,1.0,2.0,0.33,,,,,,,,,,,2.0,,1.0,3.0,,,3.0,3.0,6.0,0.0,,-,2.0,2.0,0.0
 5,KACZMAREK Lukasz,,1.0,,1.0,0.0,,,,,,,,,,,1.0,,,1.0,,,,2.0,2.0,0.0,,-,1.0,1.0,0.0
1,NOWAKOWSKI Piotr,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,
12,LOMACZ Grzegorz,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,
14,SLIWKA Aleksander,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,
16,SEMENIUK Kamil,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,
ls,total,19.0,17.0,6.0,42.0,6.33,39.0,,22.0,61.0,13.0,21.0,4.0,19.0,44.0,47.73,42.0,5,18.0,65.0,56.92,13.0,12.0,17.0,42.0,4.33,7.0,13,53.0,73.0,2.33
