Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
EBADIPOUR GHARA H. Milad,3.0,4.0,15.0,22.0,0.6,1.0,5.0,2.0,8.0,0.2,13.0,7.0,6.0,26.0,23.08,17.0,3.0,13.0,33.0,51.52,3.0,,1.0,4.0,0.6, 2,4.0,5.0,2.0,11.0,0.8
MAROUFLAKRANI Mir Saeid,,3.0,12.0,15.0,0.0,,3.0,3.0,6.0,0.0,2.0,1.0,,3.0,,,,,,,44.0,,36.0,80.0,8.8, 4,1.0,7.0,3.0,11.0,0.2
MOUSAVI ERAGHI Seyed Mohammad,,6.0,9.0,15.0,0.0,4.0,6.0,6.0,16.0,0.8,4.0,2.0,2.0,8.0,,,,2.0,2.0,,1.0,,2.0,3.0,0.2, 6,1.0,1.0,,2.0,0.2
GHAFOUR Amir,1.0,6.0,9.0,16.0,0.2,1.0,4.0,3.0,8.0,0.2,17.0,3.0,8.0,28.0,50.0,,,1.0,1.0,,,,1.0,1.0,0.0,10,4.0,3.0,,7.0,0.8
KAZEMI Saber,,,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,11,,,,,
SHARIFI Morteza,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,12,,,,,
MOJARAD Aliasghar,,2.0,17.0,19.0,0.0,2.0,7.0,7.0,16.0,0.4,7.0,1.0,,8.0,,,,,,,,,,,,15,2.0,1.0,,3.0,0.4
SALEHI Meisam,,4.0,12.0,16.0,0.0,3.0,4.0,,7.0,0.6,15.0,10.0,9.0,34.0,14.71,6.0,3.0,8.0,17.0,,2.0,,1.0,3.0,0.4,17,1.0,5.0,2.0,8.0,0.2
MARANDI Mahdi,,,,,,,,,,,,,,,,13.0,,14.0,27.0,48.15,,,3.0,3.0,0.0,19,9.0,4.0,2.0,15.0,1.8
SALEHI Arman,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
KARIMISOUCHELMAEI Javad,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
GHOLAMI Masoud,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
,total,26.0,80.0,110.0,0.8,11.0,29.0,21.0,61.0,2.2,58.0,24.0,25.0,107.0,31.78,36.0,6.0,38.0,80.0,45.0,50.0,,44.0,94.0,10.0,ls,22.0,26.0,9.0,57.0,4.4
