No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
14,SLIWKA Aleksander,7.0,8.0,1.0,16.0,1.4,55.0,2.0,50.0,107.0,11.0,17.0,2.0,6.0,25.0,68.0,20.0,6.0,11.0,37.0,37.84,4.0,5.0,2.0,11.0,0.8,3.0,6.0,17.0,26.0,0.6
17,ZATORSKI Pawel,6.0,8.0,3.0,17.0,1.2,1.0,,3.0,4.0,0.2,20.0,,10.0,30.0,66.67,18.0,7.0,5.0,30.0,36.67,2.0,3.0,4.0,9.0,0.4,2.0,5.0,12.0,19.0,0.4
 6,KUREK Bartosz,5.0,4.0,2.0,11.0,1.0,1.0,,1.0,2.0,0.2,15.0,1.0,9.0,25.0,60.0,11.0,10.0,9.0,30.0,3.33,2.0,2.0,1.0,5.0,0.4,1.0,6.0,13.0,20.0,0.2
 9,LEON VENERO Wilfredo,5.0,1.0,2.0,8.0,1.0,1.0,,,1.0,0.2,,,2.0,2.0,,7.0,1.0,2.0,10.0,,1.0,7.0,5.0,13.0,0.2,1.0,2.0,6.0,9.0,0.2
20,BIENIEK Mateusz,3.0,1.0,,4.0,0.6,,,2.0,2.0,0.0,,,,,,4.0,3.0,,7.0,,1.0,4.0,6.0,11.0,0.2,,2.0,13.0,15.0,0.0
11,DRZYZGA Fabian,2.0,2.0,1.0,5.0,0.4,,,1.0,1.0,0.0,,,,,,2.0,1.0,2.0,5.0,,,7.0,5.0,12.0,0.0,,2.0,11.0,13.0,0.0
15,KOCHANOWSKI Jakub,1.0,1.0,1.0,3.0,0.2,,,,,,,,,,,,1.0,,1.0,,,3.0,6.0,9.0,0.0,,2.0,4.0,6.0,0.0
 1,NOWAKOWSKI Piotr,1.0,,1.0,2.0,0.2,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,1.0,2.0,3.0,0.0
5,KACZMAREK Lukasz,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0
12,LOMACZ Grzegorz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KUBIAK Michal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SEMENIUK Kamil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,30.0,25.0,11.0,66.0,6.0,58.0,2.0,57.0,117.0,11.6,52.0,3.0,27.0,82.0,63.41,62.0,29.0,29.0,120.0,27.5,10.0,31.0,30.0,71.0,2.0,7.0,27.0,79.0,113.0,1.4
