No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
18,MICHIELETTO Alessandro,7.0,4.0,1.0,12.0,2.33,37.0,,29.0,66.0,12.33,9.0,1.0,8.0,18.0,50.0,9.0,1.0,7.0,17.0,47.06,2.0,1.0,1.0,4.0,0.67,1.0,2.0,7.0,10.0,0.33
13,COLACI Massimo,4.0,7.0,1.0,12.0,1.33,3.0,,1.0,4.0,1.0,7.0,3.0,8.0,18.0,38.89,9.0,3.0,6.0,18.0,33.33,1.0,3.0,4.0,8.0,0.33,,2.0,10.0,12.0,0.0
15,SBERTOLI Riccardo,2.0,4.0,,6.0,0.67,1.0,,,1.0,0.33,9.0,3.0,2.0,14.0,,7.0,4.0,5.0,16.0,18.75,,7.0,2.0,9.0,0.0,,3.0,9.0,12.0,0.0
 5,JUANTORENA Osmany,1.0,2.0,1.0,4.0,0.33,,,4.0,4.0,0.0,3.0,1.0,1.0,5.0,,6.0,,2.0,8.0,,,3.0,2.0,5.0,0.0,,1.0,9.0,10.0,0.0
 9,ZAYTSEV Ivan,1.0,3.0,,4.0,0.33,,,,,,3.0,,1.0,4.0,,4.0,1.0,2.0,7.0,,,2.0,2.0,4.0,0.0,,2.0,8.0,10.0,0.0
17,ANZANI Simone,1.0,1.0,1.0,3.0,0.33,,,,,,2.0,,,2.0,,6.0,,,6.0,,,3.0,1.0,4.0,0.0,,5.0,4.0,9.0,0.0
11,PIANO Matteo,1.0,1.0,,2.0,0.33,,,,,,1.0,,,1.0,,,,1.0,1.0,,,2.0,1.0,3.0,0.0,,,1.0,1.0,0.0
 2,KOVAR Jiri,1.0,,,1.0,0.33,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,0.0
19,LAVIA Daniele,1.0,,,1.0,0.33,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.0
 4,VETTORI Luca,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,GIANNELLI Simone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,GALASSI Gianluca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,19.0,23.0,4.0,46.0,6.33,41.0,,34.0,75.0,13.67,35.0,8.0,20.0,63.0,55.56,41.0,10.0,23.0,74.0,41.89,3.0,21.0,13.0,37.0,1.0,1.0,16.0,49.0,66.0,0.33
