No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 4,MATA Hector,5.0,11.0,1.0,17.0,1.25,28.0,,29.0,57.0,7.0,8.0,1.0,11.0,20.0,40.0,9.0,2.0,3.0,14.0,50.0,2.0,4.0,4.0,10.0,0.5,1.0,,11.0,12.0,0.25
17,FAYOLA HURTADO Ronald Daniel,3.0,5.0,,8.0,0.75,4.0,,,4.0,1.0,7.0,5.0,14.0,26.0,26.92,9.0,1.0,8.0,18.0,44.44,1.0,2.0,3.0,6.0,0.25,1.0,5,6.0,12.0,0.25
19,RIVAS QUIJADA Willner Enrique,3.0,1.0,1.0,5.0,0.75,3.0,,1.0,4.0,0.75,11.0,3.0,3.0,17.0,,12.0,4.0,4.0,20.0,40.0,1.0,1.0,1.0,3.0,0.25,1.0,2,7.0,10.0,0.25
15,ARIAS GUZMAN Luis Antonio,2.0,6.0,,8.0,0.5,2.0,,1.0,3.0,0.5,2.0,,1.0,3.0,,5.0,3.0,2.0,10.0,,,3.0,1.0,4.0,0.0,1.0,1,2.0,4.0,0.25
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,2.0,,,2.0,0.5,1.0,,1.0,2.0,0.25,,2.0,1.0,3.0,,3.0,2.0,2.0,7.0,,,1.0,1.0,2.0,0.0,,- 3,6.0,9.0,0.0
 6,ORAMAS BRIZUELA Robert Manuel,1.0,,1.0,2.0,0.25,,,2.0,2.0,0.0,1.0,,1.0,2.0,,,,3.0,3.0,,,1.0,1.0,2.0,0.0,,- 2,6.0,8.0,0.0
 7,VALENCIA GONZALEZ Edson Alberto,1.0,1.0,,2.0,0.25,,,2.0,2.0,0.0,2.0,,,2.0,,1.0,1.0,1.0,3.0,,,,1.0,1.0,0.0,,- 1,6.0,7.0,0.0
14,CANELO SANCHEZ Eliecer Alfonso,1.0,1.0,,2.0,0.25,,,,,,,,,,,,,2.0,2.0,,,,1.0,1.0,0.0,,-,4.0,4.0,0.0
 9,CARRASCO ANGULO Jose Manuel,,6.0,1.0,7.0,0.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,0.0,,-,2.0,2.0,0.0
 3,GONZALEZ Fernando,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,-,1.0,1.0,0.0
11,VERDI Jose,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,- 1,,1.0,0.0
1,VELAZQUEZ ESCALANTE Armando Fernan.,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
ls,total,18.0,35.0,4.0,57.0,4.5,38.0,,36.0,74.0,9.5,31.0,11.0,31.0,73.0,42.47,40.0,13.0,25.0,78.0,34.62,4.0,13.0,13.0,30.0,1.0,4.0,15,51.0,70.0,1.0
