No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 9,DANANI Santiago,6.0,4.0,7.0,17.0,1.2,48.0,,38.0,86.0,9.6,16.0,,4.0,20.0,80.0,14.0,3.0,9.0,26.0,42.31,3.0,6.0,3.0,12.0,0.6,3.0,3.0,13.0,19.0,0.6
 7,CONTE Facundo,5.0,7.0,2.0,14.0,1.0,3.0,,7.0,10.0,0.6,24.0,1.0,6.0,31.0,77.42,13.0,4.0,15.0,32.0,28.13,2.0,7.0,3.0,12.0,0.4,2.0,3.0,8.0,13.0,0.4
12,LIMA Bruno,4.0,3.0,2.0,9.0,0.8,3.0,,2.0,5.0,0.6,12.0,1.0,4.0,17.0,,14.0,7.0,5.0,26.0,26.92,2.0,4.0,4.0,10.0,0.4,1.0,2.0,18.0,21.0,0.2
 6,POGLAJEN Cristian,4.0,5.0,,9.0,0.8,1.0,,1.0,2.0,0.2,3.0,,2.0,5.0,,7.0,2.0,4.0,13.0,,1.0,6.0,2.0,9.0,0.2,,1.0,21.0,22.0,0.0
11,SOLE Sebastian,4.0,1.0,1.0,6.0,0.8,,,3.0,3.0,0.0,1.0,,,1.0,,8.0,1.0,2.0,11.0,,1.0,1.0,1.0,3.0,0.2,,1.0,14.0,15.0,0.0
15,de CECCO Luciano,2.0,6.0,3.0,11.0,0.4,,,2.0,2.0,0.0,1.0,,,1.0,,,1.0,2.0,3.0,,1.0,,,1.0,0.2,,2.0,7.0,9.0,0.0
 8,LOSER Agustin,2.0,2.0,,4.0,0.4,,,2.0,2.0,0.0,,,1.0,1.0,,1.0,1.0,1.0,3.0,,,4.0,6.0,10.0,0.0,,1.0,1.0,2.0,0.0
13,PALACIOS Ezequiel,2.0,1.0,,3.0,0.4,,,2.0,2.0,0.0,,,,,,,2.0,1.0,3.0,,,3.0,4.0,7.0,0.0,,1.0,,1.0,0.0
 2,PEREYRA Federico,1.0,,,1.0,0.2,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,2.0,0.0,,,,,
1,SANCHEZ Matias,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.0,,,,,
17,MENDEZ Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RAMOS Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,30.0,29.0,15.0,74.0,6.0,55.0,,57.0,112.0,11.0,57.0,2.0,17.0,76.0,75.0,57.0,21.0,40.0,118.0,30.51,10.0,33.0,24.0,67.0,2.0,6.0,14.0,82.0,102.0,1.2
