No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 9,NGAPETH Earvin,7.0,3.0,2.0,12.0,1.4,31.0,,24.0,55.0,6.2,26.0,3.0,8.0,37.0,70.27,20.0,3.0,7.0,30.0,56.67,4.0,2.0,6.0,12.0,0.8,1.0,2.0,15.0,18.0,0.2
11,BRIZARD Antoine,4.0,4.0,3.0,11.0,0.8,21.0,,13.0,34.0,4.2,18.0,2.0,6.0,26.0,69.23,17.0,5.0,11.0,33.0,36.36,3.0,7.0,2.0,12.0,0.6,1.0,3.0,14.0,18.0,0.2
17,CLEVENOT Trevor,4.0,5.0,,9.0,0.8,3.0,,3.0,6.0,0.6,15.0,1.0,6.0,22.0,68.18,14.0,9.0,8.0,31.0,16.13,3.0,2.0,1.0,6.0,0.6,,9.0,11.0,20.0,0.0
 2,GREBENNIKOV Jenia,3.0,6.0,3.0,12.0,0.6,2.0,,2.0,4.0,0.4,,,,,,6.0,1.0,3.0,10.0,,2.0,8.0,4.0,14.0,0.4,,1.0,16.0,17.0,0.0
 4,PATRY Jean,3.0,7.0,1.0,11.0,0.6,2.0,,2.0,4.0,0.4,,,,,,4.0,2.0,2.0,8.0,,1.0,1.0,5.0,7.0,0.2,,2.0,10.0,12.0,0.0
 6,TONIUTTI Benjamin,2.0,2.0,,4.0,0.4,1.0,,2.0,3.0,0.2,,,,,,1.0,,,1.0,,,4.0,6.0,10.0,0.0,,4.0,4.0,8.0,0.0
 1,CHINENYEZE Barthelemy,1.0,2.0,1.0,4.0,0.2,,,1.0,1.0,0.0,,,,,,,,,,,,2.0,1.0,3.0,0.0,,,4.0,4.0,0.0
14,le GOFF Nicolas,1.0,3.0,,4.0,0.2,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,0.0
7,TILLIE Kevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
12,BOYER Stephen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BULTOR Daryl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LOUATI Yacine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,25.0,32.0,10.0,67.0,5.0,60.0,,47.0,107.0,12.0,59.0,6.0,20.0,85.0,69.41,62.0,20.0,31.0,113.0,37.17,13.0,26.0,25.0,64.0,2.6,2.0,22.0,77.0,101.0,0.4
