Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
POGLAJEN Cristian,,1.0,1.0,2.0,0.0,,1.0,,1.0,0.0,1.0,,,1.0,,5.0,,1.0,6.0,,,,,,, 6,,1.0,,1.0,0.0
CONTE Facundo,,3.0,12.0,15.0,0.0,1.0,5.0,1.0,7.0,0.2,15.0,5.0,10.0,30.0,33.33,18.0,,1.0,19.0,,1.0,,1.0,2.0,0.2, 7,2.0,3.0,6.0,11.0,0.4
LOSER Agustin,1.0,3.0,15.0,19.0,0.2,5.0,7.0,2.0,14.0,1.0,9.0,2.0,4.0,15.0,,,,,,,1.0,,,1.0,0.2, 8,1.0,,3.0,4.0,0.2
SANCHEZ Matias,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,1,,,,,
SOLE Sebastian,1.0,2.0,14.0,17.0,0.2,,10.0,4.0,14.0,0.0,8.0,,1.0,9.0,,,,,,,,,,,,11,,,2.0,2.0,0.0
LIMA Bruno,,4.0,10.0,14.0,0.0,2.0,4.0,2.0,8.0,0.4,25.0,6.0,8.0,39.0,48.72,1.0,,,1.0,,,,1.0,1.0,0.0,12,3.0,4.0,2.0,9.0,0.6
PALACIOS Ezequiel,,3.0,10.0,13.0,0.0,1.0,3.0,1.0,5.0,0.2,9.0,2.0,7.0,18.0,38.89,24.0,,10.0,34.0,70.59,1.0,,,1.0,0.2,13,3.0,4.0,5.0,12.0,0.6
de CECCO Luciano,1.0,1.0,18.0,20.0,0.2,1.0,2.0,3.0,6.0,0.2,2.0,,,2.0,,,,,,,64.0,,37.0,101.0,12.8,15,2.0,2.0,1.0,5.0,0.4
MENDEZ Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
RAMOS Martin,1.0,,9.0,10.0,0.2,1.0,6.0,1.0,8.0,0.2,3.0,1.0,1.0,5.0,,,,,,,,,,,,18,1.0,2.0,1.0,4.0,0.2
PEREYRA Federico,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,, 2,1.0,,1.0,2.0,0.2
DANANI Santiago,,,,,,,,,,,,,,,,15.0,,5.0,20.0,75.0,1.0,,3.0,4.0,0.2, 9,4.0,5.0,4.0,13.0,0.8
,total,17.0,89.0,110.0,0.8,11.0,38.0,14.0,63.0,2.2,72.0,17.0,31.0,120.0,45.83,63.0,,17.0,80.0,78.75,68.0,,45.0,113.0,13.6,ls,17.0,21.0,25.0,63.0,3.4
