No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 7,CONTE Facundo,8.0,5.0,6.0,19.0,1.6,51.0,,52.0,103.0,10.2,20.0,1.0,10.0,31.0,64.52,22.0,7.0,10.0,39.0,38.46,4.0,7.0,8.0,19.0,0.8,2.0,4.0,11.0,17.0,0.4
13,PALACIOS Ezequiel,7.0,8.0,5.0,20.0,1.4,5.0,1.0,4.0,10.0,1.0,23.0,1.0,12.0,36.0,63.89,18.0,4.0,18.0,40.0,35.0,3.0,10.0,6.0,19.0,0.6,,,21.0,21.0,0.0
 9,DANANI Santiago,7.0,2.0,6.0,15.0,1.4,3.0,,2.0,5.0,0.6,6.0,2.0,13.0,21.0,,14.0,6.0,7.0,27.0,29.63,2.0,9.0,4.0,15.0,0.4,,4.0,15.0,19.0,0.0
15,de CECCO Luciano,3.0,2.0,1.0,6.0,0.6,2.0,,2.0,4.0,0.4,1.0,,,1.0,,9.0,1.0,5.0,15.0,,1.0,4.0,2.0,7.0,0.2,,4.0,13.0,17.0,0.0
 8,LOSER Agustin,2.0,3.0,,5.0,0.4,2.0,,1.0,3.0,0.4,1.0,,,1.0,,3.0,2.0,4.0,9.0,,1.0,1.0,2.0,4.0,0.2,,1.0,13.0,14.0,0.0
12,LIMA Bruno,1.0,4.0,1.0,6.0,0.2,,,1.0,1.0,0.0,,,1.0,1.0,,1.0,,1.0,2.0,,,1.0,3.0,4.0,0.0,,4.0,7.0,11.0,0.0
11,SOLE Sebastian,,3.0,2.0,5.0,0.0,,,1.0,1.0,0.0,1.0,,,1.0,,1.0,1.0,,2.0,,,1.0,,1.0,0.0,,,1.0,1.0,0.0
1,SANCHEZ Matias,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,0.0
2,PEREYRA Federico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,POGLAJEN Cristian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MENDEZ Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RAMOS Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,28.0,27.0,21.0,76.0,5.6,63.0,1.0,63.0,127.0,12.6,52.0,4.0,36.0,92.0,56.52,68.0,22.0,45.0,135.0,34.07,11.0,33.0,25.0,69.0,2.2,2.0,18.0,81.0,101.0,0.4
