Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
REZENDE Bruno Mossa,,,10.0,10.0,0.0,,7.0,2.0,9.0,0.0,,,1.0,1.0,,,,,,,38.0,,33.0,71.0,7.6, 1,6.0,2.0,,8.0,1.2
GIL KRELING Fernando,,1.0,1.0,2.0,0.0,1.0,,1.0,2.0,0.2,,,1.0,1.0,,,,,,,10.0,,14.0,24.0,2.0, 6,,2.0,,2.0,0.0
De SOUZA Wallace,,1.0,7.0,8.0,0.0,2.0,8.0,3.0,13.0,0.4,12.0,6.0,13.0,31.0,19.35,,,,,,,,1.0,1.0,0.0, 8,1.0,6.0,,7.0,0.2
LEAL HIDALGO Yoandy,1.0,2.0,14.0,17.0,0.2,,1.0,4.0,5.0,0.0,17.0,4.0,12.0,33.0,39.39,13.0,,13.0,26.0,50.0,1.0,1.0,1.0,3.0,0.2, 9,1.0,4.0,3,8.0,0.2
SANTOS Isac,,,3.0,3.0,0.0,1.0,2.0,2.0,5.0,0.2,1.0,3.0,3.0,7.0,,1.0,,,1.0,,,,,,,12,,1.0,,1.0,0.0
De SOUZA Mauricio Luiz,,,14.0,14.0,0.0,1.0,6.0,5.0,12.0,0.2,2.0,,2.0,4.0,,,,,,,,,,,,13,1.0,2.0,1,4.0,0.2
CORREIA De SOUZA Douglas,,,3.0,3.0,0.0,,,,,,4.0,1.0,1.0,6.0,,3.0,,3.0,6.0,,,,,,,14,2.0,,-,2.0,0.4
SAATKAMP Lucas,1.0,2.0,16.0,19.0,0.2,1.0,7.0,7.0,15.0,0.2,9.0,1.0,3.0,13.0,,1.0,,,1.0,,,,1.0,1.0,0.0,16,,2.0,3,5.0,0.0
HOSS Thales,,,,,,,,,,,,,,,,15.0,1.0,4.0,20.0,,2.0,,3.0,5.0,0.4,17,4.0,6.0,1,11.0,0.8
SOUZA Ricardo Lucarelli,3.0,3.0,17.0,23.0,0.6,3.0,2.0,,5.0,0.6,8.0,3.0,6.0,17.0,,10.0,1.0,13.0,24.0,41.67,2.0,,2.0,4.0,0.4,18,5.0,3.0,6,14.0,1.0
SOUZA Alan,,1.0,6.0,7.0,0.0,,2.0,3.0,5.0,0.0,7.0,2.0,8.0,17.0,,,,,,,,,,,,21,4.0,4.0,,8.0,0.8
BORGES ALMEIDA SILVA Mauricio,,,,,,,,,,,,,,,,3.0,,2.0,5.0,,,,,,, 5,,,- 1,1.0,0.0
,total,10.0,91.0,106.0,1.0,9.0,35.0,27.0,71.0,1.8,60.0,20.0,50.0,130.0,30.77,46.0,2.0,35.0,83.0,55.42,53.0,1.0,55.0,109.0,10.6,ls,24.0,32.0,16,72.0,4.8
