Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
REZENDE Bruno Mossa,,1.0,7.0,8.0,0.0,,2.0,1.0,3.0,0.0,,,,,,,,,,,20.0,,28.0,48.0,6.67, 1,2.0,4.0,,6.0,0.67
GIL KRELING Fernando,,,1.0,1.0,0.0,,,,,,,1.0,1.0,2.0,,,,,,,6.0,,13.0,19.0,2.0, 6,2.0,,,2.0,0.67
De SOUZA Wallace,,2.0,9.0,11.0,0.0,1.0,4.0,2.0,7.0,0.33,5.0,6.0,7.0,18.0,,,,,,,,,,,, 8,3.0,3.0,,6.0,1.0
LEAL HIDALGO Yoandy,1.0,,10.0,11.0,0.33,,2.0,2.0,4.0,0.0,4.0,5.0,10.0,19.0,,6.0,1.0,11.0,18.0,33.33,,,2.0,2.0,0.0, 9,6.0,3.0,1.0,10.0,2.0
SANTOS Isac,,,1.0,1.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,12,,,,,
De SOUZA Mauricio Luiz,1.0,1.0,7.0,9.0,0.33,2.0,5.0,4.0,11.0,0.67,4.0,,6.0,10.0,,1.0,,,1.0,,,,,,,13,3.0,,,3.0,1.0
CORREIA De SOUZA Douglas,,,5.0,5.0,0.0,,,1.0,1.0,0.0,6.0,1.0,5.0,12.0,41.67,3.0,1.0,7.0,11.0,,,,,,,14,1.0,,,1.0,0.33
SAATKAMP Lucas,1.0,1.0,10.0,12.0,0.33,2.0,6.0,5.0,13.0,0.67,6.0,2.0,,8.0,,,,,,,,,,,,16,1.0,1.0,,2.0,0.33
HOSS Thales,,,,,,,,,,,,,,,,10.0,,3.0,13.0,,2.0,,5.0,7.0,0.67,17,4.0,9.0,1.0,14.0,1.33
SOUZA Ricardo Lucarelli,,2.0,2.0,4.0,0.0,1.0,1.0,,2.0,0.33,1.0,2.0,1.0,4.0,,5.0,1.0,4.0,10.0,,,,2.0,2.0,0.0,18,2.0,2.0,3.0,7.0,0.67
SOUZA Alan,,,1.0,1.0,0.0,,1.0,,1.0,0.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,21,,,,,
BORGES ALMEIDA SILVA Mauricio,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,3.0,,,,,,, 5,,1.0,,1.0,0.0
,total,7.0,53.0,63.0,1.0,6.0,21.0,16.0,43.0,2.0,28.0,20.0,31.0,79.0,10.13,26.0,4.0,26.0,56.0,46.43,28.0,,51.0,79.0,9.33,ls,24.0,23.0,5.0,52.0,8.0
