No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
17,MIKHAYLOV Maxim,7.0,2.0,1.0,10.0,2.33,38.0,2.0,31.0,71.0,12.67,9.0,1.0,14.0,24.0,37.5,13.0,3.0,9.0,25.0,40.0,4.0,3.0,4.0,11.0,1.33,2.0,2.0,8.0,12.0,0.67
27,GOLUBEV Valentin,6.0,12.0,2.0,20.0,2.0,1.0,1.0,2.0,4.0,0.33,6.0,2.0,11.0,19.0,31.58,14.0,3.0,11.0,28.0,39.29,4.0,1.0,5.0,10.0,1.33,1.0,4.0,8.0,13.0,0.33
 7,VOLKOV Dmitry,4.0,1.0,2.0,7.0,1.33,1.0,,,1.0,0.33,6.0,,6.0,12.0,,6.0,1.0,6.0,13.0,38.46,2.0,,7.0,9.0,0.67,1.0,2.0,6.0,9.0,0.33
18,KLIUKA Egor,2.0,1.0,2.0,5.0,0.67,1.0,,,1.0,0.33,,,1.0,1.0,,6.0,1.0,,7.0,,1.0,3.0,1.0,5.0,0.33,,2.0,17.0,19.0,0.0
24,KOBZAR Igor,2.0,1.0,1.0,4.0,0.67,,,1.0,1.0,0.0,,,,,,4.0,2.0,1.0,7.0,,1.0,,,1.0,0.33,,1.0,9.0,10.0,0.0
 9,IAKOVLEV Ivan,1.0,3.0,1.0,5.0,0.33,,,1.0,1.0,0.0,,,,,,1.0,,2.0,3.0,,,,2.0,2.0,0.0,,4.0,4.0,8.0,0.0
 4,VOLVICH Artem,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,0.0
1,PODLESNYKH Yaroslav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BOGDAN Denis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PANKOV Pavel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,POLETAEV Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KURKAEV Ilyas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,22.0,21.0,9.0,52.0,7.33,41.0,3.0,35.0,79.0,13.67,21.0,3.0,32.0,56.0,37.5,44.0,10.0,29.0,83.0,40.96,12.0,7.0,19.0,38.0,4.0,4.0,18.0,52.0,74.0,1.33
