Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
REZENDE Bruno Mossa,1.0,1.0,7.0,9.0,0.33,,1.0,4.0,5.0,0.0,1.0,,,1.0,,,,1.0,1.0,,33.0,,32.0,65.0,11.0, 1,4.0,3.0,1.0,8.0,1.33
BORGES ALMEIDA SILVA Mauricio,,,3.0,3.0,0.0,,1.0,,1.0,0.0,2.0,1.0,,3.0,,2.0,,1.0,3.0,,,,2.0,2.0,0.0,5,,,,,
GIL KRELING Fernando,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,4.0,,4.0,8.0,1.33,6,,,,,
De SOUZA Wallace,1.0,,13.0,14.0,0.33,1.0,2.0,1.0,4.0,0.33,11.0,3.0,2.0,16.0,50.0,,,,,,,,,,, 8,5.0,2.0,,7.0,1.67
LEAL HIDALGO Yoandy,,,5.0,5.0,0.0,1.0,4.0,,5.0,0.33,3.0,4.0,3.0,10.0,,5.0,1.0,4.0,10.0,,,,,,, 9,1.0,1.0,,2.0,0.33
SANTOS Isac,1.0,3.0,11.0,15.0,0.33,1.0,1.0,7.0,9.0,0.33,5.0,1.0,2.0,8.0,,,,,,,,,,,,12,4.0,,,4.0,1.33
De SOUZA Mauricio Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
CORREIA De SOUZA Douglas,,,5.0,5.0,0.0,,,1.0,1.0,0.0,10.0,3.0,5.0,18.0,38.89,5.0,,,5.0,,,,,,,14,6.0,1.0,,7.0,2.0
SAATKAMP Lucas,,2.0,8.0,10.0,0.0,1.0,4.0,7.0,12.0,0.33,6.0,2.0,5.0,13.0,30.77,,,,,,,,,,,16,,1.0,,1.0,0.0
HOSS Thales,,,,,,,,,,,,,,,,10.0,,2.0,12.0,83.33,1.0,,,1.0,0.33,17,8.0,4.0,1.0,13.0,2.67
SOUZA Ricardo Lucarelli,1.0,4.0,4.0,9.0,0.33,1.0,,1.0,2.0,0.33,8.0,4.0,2.0,14.0,28.57,12.0,,3.0,15.0,80.0,2.0,,1.0,3.0,0.67,18,3.0,,1.0,4.0,1.0
SOUZA Alan,,1.0,,1.0,0.0,,1.0,,1.0,0.0,1.0,,2.0,3.0,,,,,,,,,,,,21,1.0,,,1.0,0.33
,total,12.0,57.0,73.0,1.33,5.0,14.0,21.0,40.0,1.67,47.0,18.0,21.0,86.0,33.72,34.0,1.0,11.0,46.0,73.91,40.0,,39.0,79.0,13.33,ls,32.0,12.0,3.0,47.0,10.67
