Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KADHI Ahmed,,1.0,9.0,10.0,0.0,2.0,7.0,4.0,13.0,0.67,6.0,,1.0,7.0,,,,,,,,,,,, 2,,1.0,,1.0,0.0
BEN SLIMENE Khaled,,4.0,3.0,7.0,0.0,1.0,5.0,1.0,7.0,0.33,,,1.0,1.0,,,,1.0,1.0,,24.0,2.0,39.0,65.0,8.0, 3,,,- 4,4.0,0.0
BEN OTHMEN MILADI Mohamed Ali,1.0,1.0,7.0,9.0,0.33,1.0,3.0,4.0,8.0,0.33,5.0,4.0,9.0,18.0,5.56,15.0,,5.0,20.0,75.0,,,2.0,2.0,0.0, 6,3.0,2.0,,5.0,1.0
KARAMOSLI Elyes,,1.0,2.0,3.0,0.0,,4.0,1.0,5.0,0.0,1.0,1.0,3.0,5.0,,6.0,2.0,5.0,13.0,,,,1.0,1.0,0.0, 7,1.0,2.0,,3.0,0.33
AGREBI Omar,,1.0,9.0,10.0,0.0,2.0,5.0,3.0,10.0,0.67,1.0,,5.0,6.0,,,,,,,,,,,, 9,,3.0,,3.0,0.0
NAGGA Hamza,,1.0,3.0,4.0,0.0,,,1.0,1.0,0.0,3.0,,3.0,6.0,,,,,,,,,,,,10,1.0,1.0,,2.0,0.33
MOALLA Ismail,,1.0,4.0,5.0,0.0,,1.0,1.0,2.0,0.0,,4.0,,4.0,,4.0,,,4.0,,1.0,,,1.0,0.33,11,,1.0,,1.0,0.0
BEN CHEIKH Mehdi,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,-,,
MBAREKI Selim,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,-,,
BEN TARA Wassim,,,8.0,8.0,0.0,2.0,,,2.0,0.67,11.0,5.0,7.0,23.0,26.09,3.0,,1.0,4.0,,,,1.0,1.0,0.0,15,2.0,3.0,,5.0,0.67
BOUGUERRA Aymen,,1.0,1.0,2.0,0.0,,,,,,1.0,,2.0,3.0,,2.0,,1.0,3.0,,,,,,,19,2.0,1.0,,3.0,0.67
HMISSI Saddem,,,1.0,1.0,0.0,,,,,,,,,,,5.0,,5.0,10.0,,2.0,,2.0,4.0,0.67,20,5.0,8.0,,13.0,1.67
,total,11.0,47.0,59.0,0.33,8.0,25.0,15.0,48.0,2.67,28.0,14.0,31.0,73.0,19.18,35.0,2.0,18.0,55.0,63.64,27.0,2.0,45.0,74.0,9.0,ls,14.0,22.0,4,40.0,4.67
