No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
17,HOSS Thales,9.0,10.0,2.0,21.0,2.25,51.0,1.0,38.0,90.0,12.75,9.0,1.0,11.0,21.0,42.86,15.0,1.0,13.0,29.0,48.28,4.0,8.0,1.0,13.0,1.0,4.0,1.0,17.0,22.0,1.0
 1,REZENDE Bruno Mossa,5.0,10.0,3.0,18.0,1.25,2.0,,1.0,3.0,0.5,7.0,2.0,20.0,29.0,24.14,15.0,5.0,5.0,25.0,40.0,2.0,4.0,6.0,12.0,0.5,2.0,4.0,13.0,19.0,0.5
 9,LEAL HIDALGO Yoandy,5.0,8.0,2.0,15.0,1.25,1.0,,2.0,3.0,0.25,13.0,1.0,4.0,18.0,,15.0,4.0,9.0,28.0,39.29,2.0,2.0,1.0,5.0,0.5,1.0,1.0,16.0,18.0,0.25
18,SOUZA Ricardo Lucarelli,5.0,5.0,3.0,13.0,1.25,1.0,,,1.0,0.25,2.0,,1.0,3.0,,8.0,1.0,4.0,13.0,,1.0,2.0,2.0,5.0,0.25,,,16.0,16.0,0.0
13,De SOUZA Mauricio Luiz,2.0,1.0,2.0,5.0,0.5,1.0,,,1.0,0.25,,,1.0,1.0,,3.0,1.0,,4.0,,,2.0,4.0,6.0,0.0,,,15.0,15.0,0.0
 5,BORGES ALMEIDA SILVA Mauricio,2.0,1.0,,3.0,0.5,,,2.0,2.0,0.0,1.0,,,1.0,,1.0,,1.0,2.0,,,2.0,2.0,4.0,0.0,,2.0,11.0,13.0,0.0
21,SOUZA Alan,1.0,,,1.0,0.25,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,0.0,,,1.0,1.0,0.0
 8,De SOUZA Wallace,,8.0,2.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,SAATKAMP Lucas,,3.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,GIL KRELING Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SANTOS Isac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CORREIA De SOUZA Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,29.0,46.0,15.0,90.0,7.25,56.0,1.0,43.0,100.0,14.0,32.0,4.0,38.0,74.0,43.24,58.0,12.0,32.0,102.0,45.1,9.0,21.0,16.0,46.0,2.25,7.0,8.0,89.0,104.0,1.75
