Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
ANDERSON Matthew,1.0,4.0,16.0,21.0,0.25,1.0,1.0,3.0,5.0,0.25,20.0,4.0,8.0,32.0,50.0,2.0,,3.0,5.0,,,,,,, 1,11.0,4.0,3.0,18.0,2.75
SANDER Taylor,2.0,3.0,15.0,20.0,0.5,,4.0,,4.0,0.0,16.0,4.0,11.0,31.0,38.71,17.0,2.0,13.0,32.0,53.13,1.0,,3.0,4.0,0.25, 3,4.0,5.0,,9.0,1.0
STAHL Mitchell,,3.0,6.0,9.0,0.0,1.0,5.0,3.0,9.0,0.25,6.0,2.0,4.0,12.0,,,,,,,,,,,, 6,1.0,2.0,,3.0,0.25
DEFALCO Torey,1.0,3.0,13.0,17.0,0.25,1.0,6.0,2.0,9.0,0.25,19.0,7.0,13.0,39.0,30.77,13.0,1.0,12.0,26.0,50.0,3.0,,5.0,8.0,0.75, 8,5.0,6.0,6.0,17.0,1.25
CHRISTENSON Micah,,4.0,12.0,16.0,0.0,2.0,2.0,,4.0,0.5,,,1.0,1.0,,,,,,,59.0,1.0,43.0,103.0,14.75,11,2.0,4.0,4.0,10.0,0.5
HOLT Maxwell,,3.0,6.0,9.0,0.0,2.0,8.0,6.0,16.0,0.5,7.0,1.0,3.0,11.0,,1.0,,,1.0,,2.0,,,2.0,0.5,12,3.0,2.0,,5.0,0.75
JAESCHKE Thomas,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,17,,,,,
MUAGUTUTIA Garrett,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,18,,,,,
SMITH David,,1.0,1.0,2.0,0.0,,1.0,,1.0,0.0,2.0,,,2.0,,,,,,,,,,,,20,,1.0,,1.0,0.0
SHOJI Erik,,,,,,,,,,,,,,,,16.0,4.0,8.0,28.0,57.14,2.0,,4.0,6.0,0.5,22,6.0,6.0,1.0,13.0,1.5
ENSING Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
SHOJI Kawika,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
,total,21.0,72.0,97.0,1.0,7.0,27.0,14.0,48.0,1.75,70.0,18.0,40.0,128.0,40.63,52.0,7.0,36.0,95.0,54.74,67.0,1.0,55.0,123.0,16.75,ls,32.0,30.0,14.0,76.0,8.0
