Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KADHI Ahmed,,-,10.0,10.0,0.0,2.0,9.0,4.0,15.0,0.67,3.0,2.0,5.0,10.0,,,,,,,,,1.0,1.0,0.0, 2,,1.0,1.0,2.0,0.0
BEN SLIMENE Khaled,1.0,2,5.0,8.0,0.33,,,5.0,5.0,0.0,,1.0,,1.0,,,,,,,24.0,,42.0,66.0,8.0, 3,,2.0,1.0,3.0,0.0
BEN OTHMEN MILADI Mohamed Ali,,- 1,3.0,4.0,0.0,,3.0,2.0,5.0,0.0,2.0,3.0,7.0,12.0,,8.0,1.0,5.0,14.0,,,,1.0,1.0,0.0, 6,3.0,4.0,1.0,8.0,1.0
KARAMOSLI Elyes,,-,3.0,3.0,0.0,,1.0,,1.0,0.0,2.0,3.0,1.0,6.0,,3.0,1.0,5.0,9.0,,1.0,,,1.0,0.33, 7,1.0,2.0,,3.0,0.33
AGREBI Omar,1.0,,9.0,10.0,0.33,,6.0,1.0,7.0,0.0,2.0,1.0,1.0,4.0,,,,1.0,1.0,,,,2.0,2.0,0.0, 9,,,1.0,1.0,0.0
NAGGA Hamza,,- 2,4.0,6.0,0.0,,2.0,,2.0,0.0,6.0,2.0,4.0,12.0,33.33,,1.0,1.0,2.0,,,,,,,10,,2.0,1.0,3.0,0.0
MOALLA Ismail,,- 1,7.0,8.0,0.0,1.0,,1.0,2.0,0.33,8.0,5.0,3.0,16.0,18.75,5.0,,13.0,18.0,27.78,,,,,,11,4.0,2.0,3.0,9.0,1.33
BEN CHEIKH Mehdi,,-,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
MBAREKI Selim,,-,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
BEN TARA Wassim,,- 1,4.0,5.0,0.0,2.0,1.0,2.0,5.0,0.67,5.0,4.0,7.0,16.0,6.25,,,1.0,1.0,,,,1.0,1.0,0.0,15,1.0,2.0,2.0,5.0,0.33
BOUGUERRA Aymen,,- 1,,1.0,0.0,,,,,,,2.0,,2.0,,,1.0,2.0,3.0,,,,,,,19,,,,,
HMISSI Saddem,,-,,,,,,,,,,,,,,6.0,,9.0,15.0,,2.0,,2.0,4.0,0.67,20,1.0,3.0,1.0,5.0,0.33
,total,8,45.0,55.0,0.67,5.0,22.0,15.0,42.0,1.67,28.0,23.0,28.0,79.0,6.33,22.0,4.0,37.0,63.0,34.92,27.0,,49.0,76.0,9.0,ls,10.0,18.0,11.0,39.0,3.33
