Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
PODLESNYKH Yaroslav,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,,,,,
VOLVICH Artem,,1.0,9.0,10.0,0.0,3.0,2.0,5.0,10.0,0.75,5.0,1.0,3.0,9.0,,,,,,,,,,,,4,,,,,
VOLKOV Dmitry,,3.0,10.0,13.0,0.0,3.0,2.0,2.0,7.0,0.75,13.0,3.0,11.0,27.0,37.04,17.0,,6.0,23.0,73.91,,,2.0,2.0,0.0, 7,2.0,6.0,4.0,12.0,0.5
IAKOVLEV Ivan,,3.0,10.0,13.0,0.0,4.0,9.0,6.0,19.0,1.0,4.0,1.0,9.0,14.0,,1.0,,,1.0,,,,1.0,1.0,0.0, 9,1.0,1.0,,2.0,0.25
BOGDAN Denis,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
PANKOV Pavel,,1.0,7.0,8.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,2.0,,2.0,4.0,0.5,11,,,1.0,1.0,0.0
POLETAEV Victor,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
MIKHAYLOV Maxim,,4.0,12.0,16.0,0.0,3.0,4.0,3.0,10.0,0.75,14.0,4.0,7.0,25.0,40.0,,,1.0,1.0,,2.0,,,2.0,0.5,17,4.0,5.0,2.0,11.0,1.0
KLIUKA Egor,2.0,4.0,10.0,16.0,0.5,,4.0,2.0,6.0,0.0,10.0,2.0,8.0,20.0,40.0,17.0,2.0,3.0,22.0,77.27,1.0,,1.0,2.0,0.25,18,1.0,3.0,2.0,6.0,0.25
KURKAEV Ilyas,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
KOBZAR Igor,1.0,1.0,16.0,18.0,0.25,,2.0,2.0,4.0,0.0,,,,,,,,1.0,1.0,,37.0,1.0,35.0,73.0,9.25,24,2.0,8.0,3.0,13.0,0.5
GOLUBEV Valentin,,,,,,,,,,,,,1.0,1.0,,7.0,1.0,7.0,15.0,,,,2.0,2.0,0.0,27,4.0,7.0,3.0,14.0,1.0
,total,18.0,74.0,95.0,0.75,13.0,23.0,21.0,57.0,3.25,46.0,11.0,39.0,96.0,36.46,42.0,3.0,18.0,63.0,66.67,42.0,1.0,43.0,86.0,10.5,ls,14.0,30.0,15.0,59.0,3.5
