Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
CHINENYEZE Barthelemy,,2.0,14.0,16.0,0.0,2.0,5.0,1.0,8.0,0.5,6.0,1.0,2.0,9.0,,,,,,,,,,,, 1,,1.0,2.0,3.0,0.0
PATRY Jean,,4.0,15.0,19.0,0.0,3.0,3.0,1.0,7.0,0.75,17.0,5.0,6.0,28.0,42.86,,,,,,,,1.0,1.0,0.0, 4,2.0,7.0,3.0,12.0,0.5
TONIUTTI Benjamin,,,15.0,15.0,0.0,,4.0,4.0,8.0,0.0,,,1.0,1.0,,1.0,,1.0,2.0,,44.0,,28.0,72.0,11.0, 6,2.0,2.0,2.0,6.0,0.5
NGAPETH Earvin,,3.0,9.0,12.0,0.0,1.0,2.0,3.0,6.0,0.25,17.0,6.0,8.0,31.0,35.48,15.0,3.0,11.0,29.0,51.72,5.0,,4.0,9.0,1.25, 9,8.0,7.0,1.0,16.0,2.0
BRIZARD Antoine,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,3.0,0.5,11,,,,,
BOYER Stephen,,1.0,,1.0,0.0,1.0,,,1.0,0.25,1.0,,,1.0,,,,,,,,,1.0,1.0,0.0,12,,,,,
le GOFF Nicolas,,1.0,7.0,8.0,0.0,2.0,6.0,7.0,15.0,0.5,4.0,1.0,2.0,7.0,,,,,,,,,,,,14,2.0,1.0,2.0,5.0,0.5
BULTOR Daryl,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
CLEVENOT Trevor,1.0,2.0,17.0,20.0,0.25,,2.0,2.0,4.0,0.0,16.0,6.0,8.0,30.0,33.33,16.0,2.0,5.0,23.0,69.57,3.0,,3.0,6.0,0.75,17,5.0,,1.0,6.0,1.25
LOUATI Yacine,,,3.0,3.0,0.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,19,,,,,
GREBENNIKOV Jenia,,,,,,,,,,,,,,,,9.0,,5.0,14.0,,,,2.0,2.0,0.0, 2,12.0,8.0,3.0,23.0,3.0
TILLIE Kevin,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
,total,13.0,80.0,94.0,0.25,9.0,22.0,18.0,49.0,2.25,62.0,20.0,27.0,109.0,38.53,41.0,5.0,22.0,68.0,60.29,54.0,,40.0,94.0,13.5,ls,31.0,26.0,14.0,71.0,7.75
