Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
PODLESNYKH Yaroslav,,- 2,1.0,3.0,0.0,,,2.0,2.0,0.0,6.0,,5.0,11.0,,5.0,,1.0,6.0,,,,,,, 1,1.0,3.0,,4.0,0.25
VOLVICH Artem,,- 1,9.0,10.0,0.0,2.0,5.0,6.0,13.0,0.5,4.0,2.0,3.0,9.0,,,,,,,,,1.0,1.0,0.0, 4,,1.0,,1.0,0.0
VOLKOV Dmitry,,- 3,7.0,10.0,0.0,3.0,2.0,3.0,8.0,0.75,7.0,5.0,10.0,22.0,9.09,7.0,,2.0,9.0,,2.0,,,2.0,0.5, 7,,4.0,,4.0,0.0
IAKOVLEV Ivan,2.0,2,6.0,10.0,0.5,2.0,10.0,8.0,20.0,0.5,6.0,2.0,4.0,12.0,,2.0,,,2.0,,,,1.0,1.0,0.0, 9,,1.0,,1.0,0.0
BOGDAN Denis,,- 2,3.0,5.0,0.0,,,1.0,1.0,0.0,2.0,,1.0,3.0,,,,1.0,1.0,,,,1.0,1.0,0.0,10,1.0,1.0,1,3.0,0.25
PANKOV Pavel,,- 1,1.0,2.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,3.0,,10.0,13.0,0.75,11,,1.0,,1.0,0.0
POLETAEV Victor,,-,3.0,3.0,0.0,,,,,,,,1.0,1.0,,,,,,,,,,,,15,,2.0,,2.0,0.0
MIKHAYLOV Maxim,3.0,,14.0,17.0,0.75,2.0,1.0,1.0,4.0,0.5,10.0,4.0,13.0,27.0,22.22,3.0,,,3.0,,1.0,,1.0,2.0,0.25,17,4.0,7.0,2,13.0,1.0
KLIUKA Egor,,- 2,10.0,12.0,0.0,1.0,1.0,1.0,3.0,0.25,10.0,3.0,8.0,21.0,33.33,11.0,,8.0,19.0,,2.0,,2.0,4.0,0.5,18,4.0,2.0,1,7.0,1.0
KURKAEV Ilyas,,-,4.0,4.0,0.0,1.0,2.0,1.0,4.0,0.25,1.0,,1.0,2.0,,,,,,,,,,,,20,1.0,,- 1,2.0,0.25
KOBZAR Igor,,- 2,6.0,8.0,0.0,,3.0,2.0,5.0,0.0,,,2.0,2.0,,,,1.0,1.0,,33.0,,38.0,71.0,8.25,24,1.0,5.0,3,9.0,0.25
GOLUBEV Valentin,,-,,,,,,,,,,,,,,25.0,1.0,13.0,39.0,64.1,1.0,,2.0,3.0,0.25,27,5.0,10.0,,15.0,1.25
,total,15,64.0,84.0,1.25,11.0,24.0,26.0,61.0,2.75,46.0,16.0,48.0,110.0,27.27,53.0,1.0,26.0,80.0,66.25,42.0,,56.0,98.0,10.5,ls,17.0,37.0,8,62.0,4.25
