Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
PODLESNYKH Yaroslav,,1.0,1.0,2.0,0.0,,1.0,,1.0,0.0,2.0,,,2.0,,2.0,,2.0,4.0,,,,2.0,2.0,0.0, 1,,3.0,,3.0,0.0
VOLVICH Artem,,1.0,11.0,12.0,0.0,1.0,1.0,3.0,5.0,0.33,3.0,,,3.0,,,,,,,1.0,,1.0,2.0,0.33, 4,,3.0,,3.0,0.0
VOLKOV Dmitry,2.0,3.0,5.0,10.0,0.67,2.0,2.0,4.0,8.0,0.67,6.0,3.0,7.0,16.0,18.75,9.0,1.0,4.0,14.0,64.29,1.0,,2.0,3.0,0.33, 7,1.0,2.0,,3.0,0.33
IAKOVLEV Ivan,,1.0,8.0,9.0,0.0,2.0,4.0,6.0,12.0,0.67,5.0,,2.0,7.0,,,1.0,,1.0,,,,,,, 9,1.0,1.0,1.0,3.0,0.33
BOGDAN Denis,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
PANKOV Pavel,1.0,,1.0,2.0,0.33,,1.0,1.0,2.0,0.0,,,1.0,1.0,,,,,,,6.0,,5.0,11.0,2.0,11,,1.0,1.0,2.0,0.0
POLETAEV Victor,,1.0,3.0,4.0,0.0,,2.0,,2.0,0.0,4.0,1.0,,5.0,,,,,,,,,,,,15,1.0,,,1.0,0.33
MIKHAYLOV Maxim,1.0,2.0,9.0,12.0,0.33,2.0,2.0,2.0,6.0,0.67,12.0,2.0,5.0,19.0,52.63,,,1.0,1.0,,1.0,,,1.0,0.33,17,2.0,1.0,3.0,6.0,0.67
KLIUKA Egor,,3.0,10.0,13.0,0.0,1.0,2.0,,3.0,0.33,6.0,5.0,5.0,16.0,6.25,11.0,,2.0,13.0,84.62,1.0,,4.0,5.0,0.33,18,3.0,2.0,,5.0,1.0
KURKAEV Ilyas,,,3.0,3.0,0.0,,1.0,1.0,2.0,0.0,,1.0,1.0,2.0,,,,,,,,,,,,20,,,,,
KOBZAR Igor,,1.0,5.0,6.0,0.0,,,2.0,2.0,0.0,4.0,,1.0,5.0,,,,,,,30.0,,13.0,43.0,10.0,24,2.0,2.0,5.0,9.0,0.67
GOLUBEV Valentin,,,,,,,,,,,,,,,,7.0,,7.0,14.0,50.0,1.0,,3.0,4.0,0.33,27,8.0,,1.0,9.0,2.67
,total,13.0,56.0,73.0,1.33,8.0,16.0,19.0,43.0,2.67,42.0,12.0,22.0,76.0,39.47,29.0,2.0,16.0,47.0,61.7,41.0,,30.0,71.0,13.67,ls,18.0,15.0,11.0,44.0,6.0
