Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KADHI Ahmed,,1.0,10.0,11.0,0.0,2.0,3.0,7.0,12.0,0.67,2.0,,3.0,5.0,,,,1.0,1.0,,,,,,, 2,1.0,1.0,,2.0,0.33
BEN SLIMENE Khaled,,2.0,9.0,11.0,0.0,1.0,4.0,2.0,7.0,0.33,1.0,,2.0,3.0,,,,,,,28.0,1.0,39.0,68.0,9.33, 3,,1.0,2.0,3.0,0.0
BEN OTHMEN MILADI Mohamed Ali,,1.0,10.0,11.0,0.0,,1.0,1.0,2.0,0.0,4.0,4.0,4.0,12.0,,6.0,,10.0,16.0,37.5,,,,,, 6,1.0,7.0,1.0,9.0,0.33
AGREBI Omar,1.0,2.0,7.0,10.0,0.33,1.0,7.0,2.0,10.0,0.33,2.0,,2.0,4.0,,,,,,,,,,,, 9,1.0,1.0,1.0,3.0,0.33
NAGGA Hamza,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
MOALLA Ismail,1.0,3.0,5.0,9.0,0.33,3.0,3.0,2.0,8.0,1.0,7.0,2.0,7.0,16.0,31.25,11.0,,13.0,24.0,45.83,2.0,,,2.0,0.67,11,1.0,3.0,4.0,8.0,0.33
BEN CHEIKH Mehdi,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
MBAREKI Selim,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
BEN TARA Wassim,,3.0,2.0,5.0,0.0,1.0,2.0,,3.0,0.33,13.0,6.0,9.0,28.0,25.0,1.0,1.0,,2.0,,,1.0,,1.0,0.0,15,,3.0,2.0,5.0,0.0
BOUGUERRA Aymen,,1.0,2.0,3.0,0.0,,1.0,,1.0,0.0,2.0,1.0,4.0,7.0,,,1.0,2.0,3.0,,,,,,,19,1.0,,1.0,2.0,0.33
HMISSI Saddem,,,,,,,,,,,,,,,,5.0,2.0,7.0,14.0,,1.0,,3.0,4.0,0.33,20,4.0,5.0,3.0,12.0,1.33
KARAMOSLI Elyes,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
,total,13.0,45.0,60.0,0.67,8.0,21.0,14.0,43.0,2.67,31.0,13.0,31.0,75.0,24.0,23.0,4.0,33.0,60.0,38.33,31.0,2.0,42.0,75.0,10.33,ls,9.0,21.0,14.0,44.0,3.0
