Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
ANDERSON Matthew,,3.0,8.0,11.0,0.0,,,3.0,3.0,0.0,11.0,5.0,7.0,23.0,26.09,2.0,1.0,3.0,6.0,,1.0,,2.0,3.0,0.33, 1,1.0,6.0,,7.0,0.33
SANDER Taylor,,4.0,7.0,11.0,0.0,1.0,2.0,2.0,5.0,0.33,6.0,3.0,8.0,17.0,17.65,10.0,1.0,3.0,14.0,,1.0,,2.0,3.0,0.33, 3,4.0,3.0,1,8.0,1.33
STAHL Mitchell,1.0,1.0,7.0,9.0,0.33,2.0,6.0,2.0,10.0,0.67,3.0,,2.0,5.0,,1.0,,,1.0,,,,1.0,1.0,0.0, 6,1.0,2.0,,3.0,0.33
DEFALCO Torey,,1.0,13.0,14.0,0.0,3.0,,4.0,7.0,1.0,10.0,4.0,11.0,25.0,24.0,13.0,2.0,3.0,18.0,72.22,1.0,,,1.0,0.33, 8,2.0,4.0,,6.0,0.67
CHRISTENSON Micah,,2.0,7.0,9.0,0.0,,1.0,1.0,2.0,0.0,,,,,,,,,,,32.0,,32.0,64.0,10.67,11,5.0,4.0,,9.0,1.67
HOLT Maxwell,,2.0,10.0,12.0,0.0,1.0,4.0,7.0,12.0,0.33,6.0,1.0,3.0,10.0,,1.0,,2.0,3.0,,,,2.0,2.0,0.0,12,,4.0,,4.0,0.0
JAESCHKE Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,-,,
MUAGUTUTIA Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,-,,
SMITH David,,1.0,1.0,2.0,0.0,,,1.0,1.0,0.0,2.0,1.0,,3.0,,,,,,,,,,,,20,1.0,,-,1.0,0.33
SHOJI Erik,,,,,,,,,,,,,,,,9.0,3.0,8.0,20.0,45.0,,,4.0,4.0,0.0,22,12.0,4.0,,16.0,4.0
ENSING Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,-,,
SHOJI Kawika,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,-,,
,total,14.0,53.0,68.0,0.33,7.0,13.0,20.0,40.0,2.33,38.0,14.0,31.0,83.0,28.92,36.0,7.0,19.0,62.0,58.06,35.0,,43.0,78.0,11.67,ls,26.0,27.0,1,54.0,8.67
