Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
CHINENYEZE Barthelemy,,,6.0,6.0,0.0,1.0,4.0,3.0,8.0,0.33,5.0,,2.0,7.0,,2.0,,1.0,3.0,,,,,,, 1,,2.0,,2.0,0.0
PATRY Jean,1.0,,4.0,5.0,0.33,,,4.0,4.0,0.0,7.0,2.0,4.0,13.0,38.46,,,,,,,,,,, 4,3.0,5.0,2.0,10.0,1.0
TONIUTTI Benjamin,,,1.0,1.0,0.0,,1.0,,1.0,0.0,,,,,,,,1.0,1.0,,6.0,,6.0,12.0,2.0, 6,,2.0,,2.0,0.0
TILLIE Kevin,,,8.0,8.0,0.0,,1.0,1.0,2.0,0.0,2.0,1.0,7.0,10.0,,9.0,1.0,5.0,15.0,60.0,,,,,, 7,1.0,3.0,,4.0,0.33
NGAPETH Earvin,1.0,4.0,6.0,11.0,0.33,,4.0,,4.0,0.0,8.0,5.0,3.0,16.0,18.75,10.0,,12.0,22.0,45.45,,,6.0,6.0,0.0, 9,,2.0,1.0,3.0,0.0
BRIZARD Antoine,1.0,1.0,9.0,11.0,0.33,,1.0,1.0,2.0,0.0,,1.0,,1.0,,,,1.0,1.0,,26.0,,21.0,47.0,8.67,11,2.0,5.0,,7.0,0.67
BOYER Stephen,,2.0,2.0,4.0,0.0,1.0,1.0,2.0,4.0,0.33,6.0,3.0,3.0,12.0,25.0,,,,,,,,,,,12,2.0,5.0,1.0,8.0,0.67
le GOFF Nicolas,,,9.0,9.0,0.0,,,6.0,6.0,0.0,2.0,3.0,,5.0,,,,,,,,,,,,14,,2.0,,2.0,0.0
BULTOR Daryl,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
CLEVENOT Trevor,,1.0,2.0,3.0,0.0,,1.0,,1.0,0.0,3.0,1.0,1.0,5.0,,1.0,,1.0,2.0,,,,,,,17,,1.0,,1.0,0.0
LOUATI Yacine,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,19,,,,,
GREBENNIKOV Jenia,,,,,,,,,,,,,,,,8.0,,3.0,11.0,,1.0,,1.0,2.0,0.33, 2,5.0,10.0,3.0,18.0,1.67
,total,9.0,48.0,60.0,1.0,2.0,13.0,17.0,32.0,0.67,33.0,16.0,20.0,69.0,24.64,30.0,1.0,24.0,55.0,54.55,33.0,,34.0,67.0,11.0,ls,13.0,37.0,7.0,57.0,4.33
