Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
ANDERSON Matthew,,5.0,9.0,14.0,0.0,,,3.0,3.0,0.0,13.0,,7.0,20.0,65.0,2.0,,,2.0,,,,,,, 1,1.0,5.0,3.0,9.0,0.33
SANDER Taylor,1.0,3.0,7.0,11.0,0.33,2.0,3.0,,5.0,0.67,12.0,2,5.0,19.0,52.63,10.0,1.0,2.0,13.0,76.92,,,,,, 3,5.0,3.0,3.0,11.0,1.67
DEFALCO Torey,,3.0,14.0,17.0,0.0,1.0,1.0,2.0,4.0,0.33,9.0,2,10.0,21.0,33.33,14.0,1.0,4.0,19.0,73.68,2.0,,,2.0,0.67, 8,5.0,6.0,1.0,12.0,1.67
CHRISTENSON Micah,,3.0,6.0,9.0,0.0,,2.0,2.0,4.0,0.0,1.0,,,1.0,,,,,,,43.0,,22.0,65.0,14.33,11,5.0,3.0,1.0,9.0,1.67
HOLT Maxwell,,1.0,12.0,13.0,0.0,1.0,2.0,4.0,7.0,0.33,8.0,2,1.0,11.0,,1.0,,1.0,2.0,,,,,,,12,,2.0,,2.0,0.0
JAESCHKE Thomas,,,,,,,,,,,,-,,,,,,,,,,,,,,17,,,,,
MUAGUTUTIA Garrett,,,,,,,,,,,,-,,,,,,,,,,,,,,18,,,,,
SMITH David,,2.0,7.0,9.0,0.0,1.0,1.0,5.0,7.0,0.33,7.0,,1.0,8.0,,,,,,,1.0,,,1.0,0.33,20,1.0,1.0,,2.0,0.33
SHOJI Erik,,,,,,,,,,,,-,,,,8.0,1.0,4.0,13.0,61.54,,,3.0,3.0,0.0,22,6.0,4.0,1.0,11.0,2.0
ENSING Kyle,,,,,,,,,,,,-,,,,,,,,,,,,,,5,,,,,
STAHL Mitchell,,,,,,,,,,,,-,,,,,,,,,,,,,,6,,,,,
SHOJI Kawika,,,,,,,,,,,,-,,,,,,,,,,,,,,7,,,,,
,total,17.0,55.0,73.0,0.33,5.0,9.0,16.0,30.0,1.67,50.0,6,24.0,80.0,55.0,35.0,3.0,11.0,49.0,71.43,46.0,,25.0,71.0,15.33,ls,23.0,24.0,9.0,56.0,7.67
