Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
PODLESNYKH Yaroslav,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,, 1,,1.0,,1.0,0.0
VOLVICH Artem,,1.0,10.0,11.0,0.0,2.0,4.0,6.0,12.0,0.5,4.0,1.0,3.0,8.0,,1.0,,,1.0,,,,1.0,1.0,0.0, 4,,3.0,,3.0,0.0
VOLKOV Dmitry,2.0,6.0,9.0,17.0,0.5,2.0,4.0,2.0,8.0,0.5,12.0,4.0,12.0,28.0,28.57,5.0,1.0,3.0,9.0,,1.0,,3.0,4.0,0.25, 7,7.0,4.0,1.0,12.0,1.75
IAKOVLEV Ivan,,3.0,5.0,8.0,0.0,2.0,11.0,4.0,17.0,0.5,8.0,1.0,1.0,10.0,,1.0,,1.0,2.0,,,,1.0,1.0,0.0, 9,2.0,1.0,2.0,5.0,0.5
BOGDAN Denis,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,10,,,,,
PANKOV Pavel,3.0,3.0,5.0,11.0,0.75,1.0,1.0,4.0,6.0,0.25,,,1.0,1.0,,,,,,,14.0,1.0,21.0,36.0,3.5,11,2.0,2.0,,4.0,0.5
POLETAEV Victor,1.0,1.0,5.0,7.0,0.25,,,,,,,,,,,,,,,,,,,,,15,1.0,1.0,,2.0,0.25
MIKHAYLOV Maxim,,2.0,13.0,15.0,0.0,1.0,,4.0,5.0,0.25,10.0,11.0,12.0,33.0,,4.0,,1.0,5.0,,,,,,,17,1.0,4.0,2.0,7.0,0.25
KLIUKA Egor,1.0,5.0,10.0,16.0,0.25,2.0,3.0,,5.0,0.5,11.0,6.0,9.0,26.0,19.23,16.0,2.0,5.0,23.0,69.57,1.0,,2.0,3.0,0.25,18,6.0,4.0,,10.0,1.5
KURKAEV Ilyas,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
KOBZAR Igor,,1.0,7.0,8.0,0.0,,,6.0,6.0,0.0,1.0,,,1.0,,,,,,,24.0,,27.0,51.0,6.0,24,2.0,3.0,,5.0,0.5
GOLUBEV Valentin,,,,,,,,,,,,,,,,15.0,2.0,11.0,28.0,53.57,1.0,,,1.0,0.25,27,7.0,7.0,3.0,17.0,1.75
,total,23.0,67.0,97.0,1.75,10.0,23.0,26.0,59.0,2.5,46.0,23.0,38.0,107.0,21.5,42.0,5.0,21.0,68.0,61.76,41.0,1.0,55.0,97.0,10.25,ls,28.0,30.0,8.0,66.0,7.0
