Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KADHI Ahmed,,1.0,11.0,12.0,0.0,,5.0,5.0,10.0,0.0,2.0,,4.0,6.0,,,,1.0,1.0,,,,,,, 2,,2.0,,2.0,0.0
BEN SLIMENE Khaled,,2.0,16.0,18.0,0.0,,5.0,5.0,10.0,0.0,2.0,,2.0,4.0,,,,,,,34.0,,42.0,76.0,8.5, 3,10.0,4.0,1.0,15.0,2.5
BEN OTHMEN MILADI Mohamed Ali,,1.0,10.0,11.0,0.0,1.0,2.0,1.0,4.0,0.25,6.0,3.0,7.0,16.0,18.75,18.0,1.0,8.0,27.0,66.67,1.0,,1.0,2.0,0.25, 6,1.0,5.0,1.0,7.0,0.25
KARAMOSLI Elyes,,1.0,3.0,4.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,7,,,,,
AGREBI Omar,,,5.0,5.0,0.0,3.0,5.0,1.0,9.0,0.75,,2.0,1.0,3.0,,,1.0,2.0,3.0,,,,1.0,1.0,0.0, 9,,1.0,,1.0,0.0
NAGGA Hamza,,1.0,1.0,2.0,0.0,,2.0,1.0,3.0,0.0,7.0,2.0,1.0,10.0,,,,,,,1.0,,2.0,3.0,0.25,10,2.0,,,2.0,0.5
MOALLA Ismail,,4.0,8.0,12.0,0.0,,3.0,3.0,6.0,0.0,8.0,4.0,6.0,18.0,22.22,8.0,2.0,8.0,18.0,,1.0,,3.0,4.0,0.25,11,4.0,4.0,1.0,9.0,1.0
BEN CHEIKH Mehdi,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
MBAREKI Selim,,,4.0,4.0,0.0,,4.0,,4.0,0.0,3.0,,3.0,6.0,,,,,,,,,,,,13,,1.0,,1.0,0.0
BEN TARA Wassim,1.0,2.0,5.0,8.0,0.25,2.0,8.0,3.0,13.0,0.5,13.0,8.0,13.0,34.0,14.71,,,2.0,2.0,,,,,,,15,,4.0,2.0,6.0,0.0
BOUGUERRA Aymen,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,19,,,,,
HMISSI Saddem,,,,,,,,,,,,,,,,13.0,2.0,8.0,23.0,56.52,,,4.0,4.0,0.0,20,3.0,10.0,2.0,15.0,0.75
,total,13.0,63.0,77.0,0.25,6.0,34.0,19.0,59.0,1.5,41.0,19.0,37.0,97.0,22.68,39.0,6.0,29.0,74.0,52.7,37.0,,54.0,91.0,9.25,ls,20.0,31.0,7.0,58.0,5.0
