Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
ANDERSON Matthew,1.0,4.0,17.0,22.0,0.25,,4.0,1.0,5.0,0.0,8.0,4.0,9.0,21.0,19.05,3.0,,2.0,5.0,,,,2.0,2.0,0.0, 1,8.0,2.0,,10.0,2.0
SANDER Taylor,2.0,3.0,7.0,12.0,0.5,1.0,2.0,2.0,5.0,0.25,14.0,2.0,4.0,20.0,60.0,16.0,,5.0,21.0,76.19,,,1.0,1.0,0.0, 3,5.0,1.0,2.0,8.0,1.25
STAHL Mitchell,1.0,2.0,6.0,9.0,0.25,1.0,2.0,4.0,7.0,0.25,6.0,,2.0,8.0,,,,,,,,,,,, 6,1.0,1.0,,2.0,0.25
DEFALCO Torey,1.0,3.0,13.0,17.0,0.25,2.0,2.0,4.0,8.0,0.5,21.0,5.0,10.0,36.0,44.44,13.0,1.0,3.0,17.0,76.47,1.0,,2.0,3.0,0.25, 8,7.0,2.0,1.0,10.0,1.75
CHRISTENSON Micah,,4.0,7.0,11.0,0.0,1.0,6.0,5.0,12.0,0.25,1.0,,1.0,2.0,,,,2.0,2.0,,59.0,,35.0,94.0,14.75,11,4.0,3.0,,7.0,1.0
HOLT Maxwell,,3.0,17.0,20.0,0.0,3.0,2.0,7.0,12.0,0.75,13.0,3.0,2.0,18.0,55.56,,,,,,1.0,,,1.0,0.25,12,4.0,2.0,,6.0,1.0
JAESCHKE Thomas,,1.0,,1.0,0.0,1.0,,,1.0,0.25,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,17,1.0,1.0,,2.0,0.25
MUAGUTUTIA Garrett,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,18,,1.0,,1.0,0.0
SMITH David,1.0,,4.0,5.0,0.25,,2.0,2.0,4.0,0.0,3.0,1.0,,4.0,,1.0,,,1.0,,,,,,,20,1.0,2.0,,3.0,0.25
SHOJI Erik,,,,,,,,,,,,,,,,13.0,,2.0,15.0,,1.0,,4.0,5.0,0.25,22,10.0,6.0,1.0,17.0,2.5
ENSING Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
SHOJI Kawika,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
,total,20.0,71.0,97.0,1.5,9.0,20.0,25.0,54.0,2.25,66.0,15.0,29.0,110.0,46.36,48.0,1.0,15.0,64.0,75.0,62.0,,44.0,106.0,15.5,ls,41.0,21.0,4.0,66.0,10.25
