Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SANDERS Tyler,,1.0,8.0,9.0,0.0,,,2.0,2.0,0.0,,,1.0,1.0,,,,,,,33.0,,28.0,61.0,11.0, 1,5.0,7.0,1.0,13.0,1.67
PERRIN John Gordon,1.0,3.0,9.0,13.0,0.33,3.0,3.0,3.0,9.0,1.0,11.0,3.0,13.0,27.0,29.63,12.0,4.0,9.0,25.0,48.0,,1.0,2.0,3.0,0.0, 2,8.0,4.0,2.0,14.0,2.67
HOAG Nicholas,1.0,3.0,10.0,14.0,0.33,,1.0,1.0,2.0,0.0,9.0,6.0,10.0,25.0,12.0,6.0,2.0,15.0,23.0,26.09,2.0,,5.0,7.0,0.67, 4,4.0,3.0,2.0,9.0,1.33
SCLATER Ryan Joseph,1.0,2.0,10.0,13.0,0.33,1.0,1.0,1.0,3.0,0.33,12.0,1.0,6.0,19.0,57.89,,,,,,2.0,,1.0,3.0,0.67,10,7.0,5.0,,12.0,2.33
van BERKEL Lucas,1.0,1.0,8.0,10.0,0.33,2.0,5.0,5.0,12.0,0.67,8.0,1.0,1.0,10.0,,2.0,,,2.0,,1.0,,,1.0,0.33,12,,1.0,,1.0,0.0
VERNONEVANS Sharone,,,,,,1.0,1.0,,2.0,0.33,1.0,1.0,2.0,4.0,,,,,,,,,,,,13,,,,,
VIGRASS Graham,,,11.0,11.0,0.0,,2.0,10.0,12.0,0.0,4.0,1.0,,5.0,,,,,,,,1.0,1.0,2.0,0.0,17,,2.0,1.0,3.0,0.0
BANN Blair Cameron,,,,,,,,,,,,,,,,6.0,2.0,9.0,17.0,35.29,3.0,,3.0,6.0,1.0,19,5.0,8.0,3.0,16.0,1.67
SZWARC Arthur,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,20,,,,,
MARSHALL Steven,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,0.0, 3,,1.0,,1.0,0.0
MAAR Stephen Timothy,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
BLANKENAU Jay,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,9.0,1.33, 9,2.0,,,2.0,0.67
,total,11.0,57.0,72.0,1.33,7.0,13.0,22.0,42.0,2.33,45.0,13.0,33.0,91.0,35.16,27.0,8.0,33.0,68.0,39.71,45.0,3.0,45.0,93.0,15.0,ls,31.0,31.0,9.0,71.0,10.33
