Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
VOLVICH Artem,,,9.0,9.0,0.0,1.0,3.0,5.0,9.0,0.33,7.0,1.0,1.0,9.0,,,,,,,,,,,, 4,,3.0,,3.0,0.0
VOLKOV Dmitry,,2.0,10.0,12.0,0.0,3.0,3.0,3.0,9.0,1.0,12.0,4.0,7.0,23.0,34.78,4.0,,2.0,6.0,,1.0,,3.0,4.0,0.33, 7,5.0,2.0,1,8.0,1.67
IAKOVLEV Ivan,2.0,2.0,9.0,13.0,0.67,1.0,7.0,7.0,15.0,0.33,4.0,,2.0,6.0,,,,,,,,,1.0,1.0,0.0, 9,3.0,,-,3.0,1.0
PODLESNYKH Yaroslav,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,-,,
BOGDAN Denis,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,-,,
PANKOV Pavel,,1.0,3.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,11,,,-,,
POLETAEV Victor,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,-,,
MIKHAYLOV Maxim,2.0,5.0,9.0,16.0,0.67,,2.0,1.0,3.0,0.0,12.0,2.0,12.0,26.0,38.46,,,,,,,,2.0,2.0,0.0,17,2.0,2.0,2,6.0,0.67
KLIUKA Egor,2.0,,12.0,14.0,0.67,1.0,2.0,,3.0,0.33,9.0,3.0,10.0,22.0,27.27,8.0,,5.0,13.0,,,,1.0,1.0,0.0,18,3.0,6.0,2,11.0,1.0
KURKAEV Ilyas,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,-,,
KOBZAR Igor,2.0,1.0,8.0,11.0,0.67,2.0,3.0,3.0,8.0,0.67,1.0,,1.0,2.0,,,,,,,37.0,,33.0,70.0,12.33,24,7.0,4.0,,11.0,2.33
GOLUBEV Valentin,,,,,,,1.0,,1.0,0.0,,,,,,22.0,3.0,15.0,40.0,55.0,3.0,,2.0,5.0,1.0,27,6.0,7.0,,13.0,2.0
,total,11.0,60.0,79.0,2.67,8.0,21.0,19.0,48.0,2.67,45.0,10.0,33.0,88.0,39.77,34.0,3.0,22.0,59.0,57.63,41.0,,42.0,83.0,13.67,ls,26.0,24.0,5,55.0,8.67
