Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SANCHEZ Matias,,,1.0,1.0,0.0,,,,,,,,,,,1.0,,,1.0,,2.0,,4.0,6.0,0.4,1,,,,,
PEREYRA Federico,,1.0,,1.0,0.0,,,,,,1.0,2.0,,3.0,,,,,,,,,,,,2,,,,,
POGLAJEN Cristian,,1.0,4.0,5.0,0.0,,1.0,,1.0,0.0,4.0,1.0,2.0,7.0,,3.0,,,3.0,,1.0,,1.0,2.0,0.2, 6,2.0,1.0,1.0,4.0,0.4
CONTE Facundo,,5.0,17.0,22.0,0.0,2.0,7.0,1.0,10.0,0.4,17.0,7.0,11.0,35.0,28.57,17.0,1.0,14.0,32.0,53.13,4.0,,2.0,6.0,0.8, 7,5.0,4.0,,9.0,1.0
LOSER Agustin,,,11.0,11.0,0.0,1.0,7.0,7.0,15.0,0.2,3.0,1.0,4.0,8.0,,,,,,,1.0,,2.0,3.0,0.2, 8,2.0,1.0,,3.0,0.4
SOLE Sebastian,,1.0,18.0,19.0,0.0,1.0,8.0,5.0,14.0,0.2,8.0,,9.0,17.0,,,,3.0,3.0,,,,2.0,2.0,0.0,11,1.0,1.0,1.0,3.0,0.2
LIMA Bruno,2.0,3.0,9.0,14.0,0.4,,5.0,6.0,11.0,0.0,12.0,8.0,7.0,27.0,14.81,1.0,,2.0,3.0,,,,2.0,2.0,0.0,12,3.0,6.0,4.0,13.0,0.6
PALACIOS Ezequiel,2.0,3.0,7.0,12.0,0.4,2.0,5.0,1.0,8.0,0.4,14.0,2.0,8.0,24.0,50.0,5.0,1.0,10.0,16.0,,,,3.0,3.0,0.0,13,4.0,6.0,,10.0,0.8
de CECCO Luciano,1.0,1.0,12.0,14.0,0.2,,5.0,3.0,8.0,0.0,3.0,,,3.0,,,,,,,50.0,,43.0,93.0,10.0,15,8.0,2.0,,10.0,1.6
MENDEZ Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
RAMOS Martin,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,18,,,,,
DANANI Santiago,,,,,,,,,,,,,,,,14.0,3.0,11.0,28.0,50.0,,,1.0,1.0,0.0, 9,11.0,6.0,1.0,18.0,2.2
,total,15.0,79.0,99.0,1.0,6.0,38.0,24.0,68.0,1.2,62.0,21.0,41.0,124.0,33.06,41.0,5.0,40.0,86.0,47.67,58.0,,60.0,118.0,11.6,ls,36.0,27.0,7.0,70.0,7.2
