No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
18,MICHIELETTO Alessandro,10.0,6.0,1.0,17.0,2.0,56.0,,47.0,103.0,11.2,23.0,3.0,11.0,37.0,62.16,19.0,1.0,12.0,32.0,56.25,3.0,1.0,2.0,6.0,0.6,2.0,5.0,10.0,17.0,0.4
 4,VETTORI Luca,8.0,4.0,,12.0,1.6,2.0,,,2.0,0.4,11.0,,10.0,21.0,52.38,17.0,3.0,16.0,36.0,38.89,2.0,5.0,4.0,11.0,0.4,2.0,3.0,9.0,14.0,0.4
 5,JUANTORENA Osmany,7.0,7.0,2.0,16.0,1.4,1.0,,4.0,5.0,0.2,9.0,2.0,9.0,20.0,,7.0,2.0,7.0,16.0,,2.0,3.0,5.0,10.0,0.4,1.0,3.0,17.0,21.0,0.2
 6,GIANNELLI Simone,5.0,9.0,2.0,16.0,1.0,1.0,,2.0,3.0,0.2,,,1.0,1.0,,7.0,2.0,6.0,15.0,,2.0,4.0,3.0,9.0,0.4,,1.0,16.0,17.0,0.0
13,COLACI Massimo,5.0,6.0,1.0,12.0,1.0,1.0,,2.0,3.0,0.2,,,1.0,1.0,,8.0,1.0,,9.0,,2.0,1.0,2.0,5.0,0.4,,3.0,8.0,11.0,0.0
 9,ZAYTSEV Ivan,4.0,2.0,,6.0,0.8,1.0,,,1.0,0.2,,,1.0,1.0,,4.0,2.0,3.0,9.0,,1.0,6.0,3.0,10.0,0.2,,,9.0,9.0,0.0
14,GALASSI Gianluca,2.0,,,2.0,0.4,1.0,,,1.0,0.2,,,1.0,1.0,,4.0,,,4.0,,1.0,4.0,3.0,8.0,0.2,,3.0,6.0,9.0,0.0
17,ANZANI Simone,1.0,,,1.0,0.2,1.0,,,1.0,0.2,1.0,,,1.0,,1.0,,1.0,2.0,,,3.0,2.0,5.0,0.0,,1.0,4.0,5.0,0.0
2,KOVAR Jiri,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,0.0
11,PIANO Matteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SBERTOLI Riccardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LAVIA Daniele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,42.0,34.0,6.0,82.0,8.4,64.0,,55.0,119.0,12.8,44.0,5.0,34.0,83.0,53.01,67.0,11.0,45.0,123.0,45.53,13.0,27.0,24.0,64.0,2.6,5.0,21.0,82.0,108.0,1.0
