No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
17,HOSS Thales,13.0,8.0,2.0,23.0,3.25,47.0,,51.0,98.0,11.75,15.0,1.0,8.0,24.0,62.5,17.0,3.0,13.0,33.0,42.42,4.0,6.0,10.0,20.0,1.0,3.0,3.0,11.0,17.0,0.75
 1,REZENDE Bruno Mossa,6.0,3.0,1.0,10.0,1.5,2.0,,3.0,5.0,0.5,14.0,,9.0,23.0,60.87,9.0,4.0,12.0,25.0,20.0,2.0,3.0,3.0,8.0,0.5,1.0,1.0,15.0,17.0,0.25
 9,LEAL HIDALGO Yoandy,3.0,2.0,5.0,10.0,0.75,1.0,,6.0,7.0,0.25,9.0,1.0,11.0,21.0,42.86,10.0,7.0,10.0,27.0,11.11,1.0,7.0,1.0,9.0,0.25,1.0,4.0,12.0,17.0,0.25
 8,De SOUZA Wallace,2.0,5.0,2.0,9.0,0.5,,,1.0,1.0,0.0,2.0,1.0,,3.0,,8.0,1.0,4.0,13.0,,1.0,5.0,2.0,8.0,0.25,1.0,3.0,11.0,15.0,0.25
18,SOUZA Ricardo Lucarelli,2.0,5.0,1.0,8.0,0.5,,,1.0,1.0,0.0,1.0,,1.0,2.0,,4.0,,4.0,8.0,,,2.0,4.0,6.0,0.0,1.0,4.0,7.0,12.0,0.25
 5,BORGES ALMEIDA SILVA Mauricio,1.0,1.0,1.0,3.0,0.25,,,,,,1.0,,1.0,2.0,,1.0,,4.0,5.0,,,3.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,0.25
14,CORREIA De SOUZA Douglas,1.0,1.0,,2.0,0.25,,,,,,1.0,,,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,0.0,,2.0,9.0,11.0,0.0
16,SAATKAMP Lucas,1.0,1.0,,2.0,0.25,,,,,,,,,,,1.0,,,1.0,,,,,,,,,3.0,3.0,0.0
13,De SOUZA Mauricio Luiz,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,SOUZA Alan,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,GIL KRELING Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SANTOS Isac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,29.0,29.0,12.0,70.0,7.25,50.0,,62.0,112.0,12.5,43.0,3.0,30.0,76.0,56.58,51.0,16.0,47.0,114.0,30.7,8.0,26.0,22.0,56.0,2.0,8.0,18.0,69.0,95.0,2.0
