Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
PODLESNYKH Yaroslav,,1.0,6.0,7.0,0.0,,,2.0,2.0,0.0,6.0,3.0,4.0,13.0,,2.0,,5.0,7.0,,1.0,,,1.0,0.25, 1,3.0,1.0,1.0,5.0,0.75
VOLVICH Artem,,,7.0,7.0,0.0,,6.0,7.0,13.0,0.0,2.0,1.0,2.0,5.0,,,1.0,,1.0,,,,,,, 4,3.0,1.0,,4.0,0.75
VOLKOV Dmitry,,5.0,6.0,11.0,0.0,1.0,2.0,1.0,4.0,0.25,6.0,1.0,9.0,16.0,,6.0,2.0,7.0,15.0,,,,4.0,4.0,0.0, 7,2.0,3.0,,5.0,0.5
IAKOVLEV Ivan,,3.0,9.0,12.0,0.0,3.0,10.0,8.0,21.0,0.75,9.0,1.0,3.0,13.0,,,,,,,,1.0,1.0,2.0,0.0, 9,3.0,1.0,,4.0,0.75
BOGDAN Denis,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
PANKOV Pavel,2.0,2.0,4.0,8.0,0.5,,,,,,,,,,,,,,,,,,,,,11,1.0,,1.0,2.0,0.25
POLETAEV Victor,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
MIKHAYLOV Maxim,,2.0,13.0,15.0,0.0,2.0,3.0,4.0,9.0,0.5,20.0,4.0,9.0,33.0,48.48,1.0,,,1.0,,2.0,,,2.0,0.5,17,4.0,,1.0,5.0,1.0
KLIUKA Egor,1.0,1.0,10.0,12.0,0.25,,2.0,3.0,5.0,0.0,14.0,4.0,11.0,29.0,34.48,13.0,1.0,3.0,17.0,,3.0,,3.0,6.0,0.75,18,1.0,2.0,1.0,4.0,0.25
KURKAEV Ilyas,,,4.0,4.0,0.0,1.0,4.0,2.0,7.0,0.25,1.0,2.0,,3.0,,,,,,,,,,,,20,,1.0,,1.0,0.0
KOBZAR Igor,,2.0,14.0,16.0,0.0,,3.0,1.0,4.0,0.0,,1.0,1.0,2.0,,,,,,,47.0,,41.0,88.0,11.75,24,9.0,4.0,3.0,16.0,2.25
GOLUBEV Valentin,,,,,,,,,,,,,,,,18.0,3.0,14.0,35.0,51.43,2.0,,4.0,6.0,0.5,27,9.0,8.0,3.0,20.0,2.25
,total,16.0,73.0,92.0,0.75,7.0,30.0,28.0,65.0,1.75,58.0,17.0,39.0,114.0,35.96,40.0,7.0,29.0,76.0,52.63,55.0,1.0,53.0,109.0,13.75,ls,35.0,21.0,10.0,66.0,8.75
