Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SANCHEZ Matias,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,2.0,,2.0,4.0,0.67,1,,,,,
PEREYRA Federico,,,1.0,1.0,0.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,0.33, 2,,1.0,,1.0,0.0
POGLAJEN Cristian,,1.0,5.0,6.0,0.0,,,2.0,2.0,0.0,4.0,4.0,2.0,10.0,,6.0,1.0,6.0,13.0,,,,1.0,1.0,0.0, 6,3.0,2.0,1.0,6.0,1.0
CONTE Facundo,1.0,4.0,9.0,14.0,0.33,,2.0,2.0,4.0,0.0,12.0,4.0,7.0,23.0,34.78,13.0,2.0,9.0,24.0,54.17,,,1.0,1.0,0.0, 7,3.0,6.0,6.0,15.0,1.0
LOSER Agustin,,2.0,10.0,12.0,0.0,,5.0,7.0,12.0,0.0,7.0,,3.0,10.0,,,,,,,,,1.0,1.0,0.0, 8,2.0,,,2.0,0.67
SOLE Sebastian,,,10.0,10.0,0.0,3.0,3.0,3.0,9.0,1.0,1.0,2.0,4.0,7.0,,1.0,,,1.0,,,,,,,11,1.0,,,1.0,0.33
LIMA Bruno,,6.0,2.0,8.0,0.0,1.0,5.0,,6.0,0.33,8.0,5.0,6.0,19.0,15.79,1.0,,1.0,2.0,,,,1.0,1.0,0.0,12,,3.0,,3.0,0.0
PALACIOS Ezequiel,,1.0,1.0,2.0,0.0,,2.0,2.0,4.0,0.0,,1.0,5.0,6.0,,4.0,,,4.0,,1.0,,,1.0,0.33,13,1.0,2.0,1.0,4.0,0.33
de CECCO Luciano,,1.0,9.0,10.0,0.0,1.0,3.0,1.0,5.0,0.33,2.0,,1.0,3.0,,,,,,,26.0,,33.0,59.0,8.67,15,,2.0,2.0,4.0,0.0
MENDEZ Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
RAMOS Martin,,,1.0,1.0,0.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,18,,,,,
DANANI Santiago,,,,,,,,,,,,,,,,11.0,,2.0,13.0,,2.0,,3.0,5.0,0.67, 9,5.0,2.0,1.0,8.0,1.67
,total,15.0,49.0,65.0,0.33,5.0,21.0,17.0,43.0,1.67,34.0,16.0,29.0,79.0,22.78,36.0,3.0,18.0,57.0,63.16,32.0,,42.0,74.0,10.67,ls,15.0,18.0,11.0,44.0,5.0
