Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
ARAKI Erika,7.0,18.0,29.0,54.0,0.39,18,1.29,JPN
HAYASHI Kotona,0.0,3.0,9.0,12.0,0.0,18,0.27,JPN
ISHII Yuki,0.0,2.0,5.0,7.0,0.0,18,0.15,JPN
ISHIKAWA Mayu,3.0,11.0,17.0,31.0,0.17,18,0.7,JPN
KOBATA Mako,0.0,0.0,1.0,1.0,0.0,18,0.03,JPN
KOGA Sarina,4.0,5.0,9.0,18.0,0.33,12,0.75,JPN
KUROGO Ai,4.0,13.0,16.0,33.0,0.22,18,0.74,JPN
MOMII Aki,4.0,5.0,16.0,25.0,0.22,18,0.69,JPN
OKUMURA Mai,0.0,0.0,2.0,2.0,0.0,18,0.06,JPN
SHIMAMURA Haruyo,5.0,23.0,45.0,73.0,0.28,18,1.66,JPN
TASHIRO Kanami,0.0,3.0,0.0,3.0,0.0,18,0.02,JPN
YAMADA Nichika,0.0,1.0,0.0,1.0,0.0,18,0.01,JPN
AN Hyejin,0.0,1.0,5.0,6.0,0.0,30,0.09,KOR
JEONG Jiyun,0.0,3.0,2.0,5.0,0.0,30,0.04,KOR
KIM Heejin,7.0,15.0,38.0,60.0,0.23,30,0.92,KOR
KIM Su Ji,4.0,38.0,29.0,71.0,0.13,30,0.74,KOR
KIM Yeon Koung,9.0,13.0,25.0,47.0,0.3,30,0.76,KOR
LEE Soyoung,0.0,4.0,6.0,10.0,0.0,30,0.11,KOR
OH Jiyoung,0.0,0.0,0.0,0.0,0.0,30,0.0,KOR
PARK Eunjin,1.0,9.0,6.0,16.0,0.03,30,0.16,KOR
PARK Jeongah,10.0,15.0,22.0,47.0,0.33,30,0.75,KOR
PYO Seungju,0.0,4.0,2.0,6.0,0.0,30,0.05,KOR
YANG Hyo Jin,20.0,38.0,42.0,100.0,0.67,30,1.49,KOR
YEUM Hye Seon,3.0,16.0,22.0,41.0,0.1,30,0.52,KOR
ALEKSIC Maja,6.0,7.0,6.0,19.0,0.24,25,0.39,SRB
BJELICA Ana,0.0,2.0,2.0,4.0,0.0,25,0.05,SRB
BLAGOJEVIC Jelena,1.0,5.0,6.0,12.0,0.04,25,0.18,SRB
BOSKOVIC Tijana,15.0,14.0,22.0,51.0,0.6,25,1.1,SRB
BUSA Bianka,2.0,10.0,11.0,23.0,0.08,25,0.34,SRB
MIHAJLOVIC Brankica,4.0,4.0,2.0,10.0,0.16,25,0.22,SRB
MILENKOVIC Bojana,11.0,12.0,14.0,37.0,0.44,25,0.77,SRB
MIRKOVIC Sladjana,1.0,3.0,2.0,6.0,0.04,25,0.09,SRB
OGNJENOVIC Maja,4.0,15.0,30.0,49.0,0.16,25,0.82,SRB
POPOVIC Mina,18.0,35.0,42.0,95.0,0.72,25,1.7,SRB
POPOVIC Silvija,0.0,0.0,0.0,0.0,0.0,25,0.0,SRB
RASIC Milena,17.0,18.0,20.0,55.0,0.68,25,1.15,SRB
BRAGA GUIMARAES Gabriela,9.0,18.0,20.0,47.0,0.32,28,0.74,BRA
BRAIT Camila,0.0,0.0,0.0,0.0,0.0,28,0.0,BRA
CAIXETA Tandara,1.0,11.0,14.0,26.0,0.05,22,0.41,BRA
CORREA Ana Beatriz,0.0,2.0,2.0,4.0,0.0,28,0.04,BRA
MENEZES OLIVEIRA de SOUZA Ana Cris.,0.0,0.0,0.0,0.0,0.0,28,0.0,BRA
MONTIBELLER Rosamaria,13.0,12.0,14.0,39.0,0.46,28,0.76,BRA
PEREIRA Natalia,4.0,1.0,3.0,8.0,0.14,28,0.2,BRA
RATZKE Roberta Silva,1.0,7.0,8.0,16.0,0.04,28,0.2,BRA
RODRIGUES Fernanda,9.0,22.0,30.0,61.0,0.32,28,0.94,BRA
SILVA CARNEIRO Macris Fernanda,1.0,14.0,19.0,34.0,0.04,24,0.5,BRA
da SILVA Ana Carolina,23.0,49.0,39.0,111.0,0.82,28,1.69,BRA
de OLIVEIRA SAAD GATTAZ Caroline,22.0,35.0,55.0,112.0,0.79,28,1.89,BRA
AKINRADEWO Foluke,21.0,32.0,34.0,87.0,0.75,28,1.47,USA
BARTSCHHACKLEY Michelle,7.0,21.0,22.0,50.0,0.25,28,0.72,USA
DREWS Andrea,7.0,11.0,20.0,38.0,0.25,28,0.65,USA
HANCOCK Micha,1.0,2.0,7.0,10.0,0.04,28,0.17,USA
HILL Kimberly,0.0,0.0,0.0,0.0,0.0,28,0.0,USA
LARSON Jordan,9.0,19.0,15.0,43.0,0.32,28,0.66,USA
OGBOGU Chiaka,2.0,5.0,1.0,8.0,0.07,28,0.11,USA
POULTER Jordyn,7.0,22.0,20.0,49.0,0.25,28,0.69,USA
ROBINSON Kelsey,1.0,1.0,1.0,3.0,0.04,28,0.06,USA
THOMPSON Jordan,9.0,8.0,10.0,27.0,0.39,23,0.64,USA
WASHINGTON Haleigh,20.0,33.0,42.0,95.0,0.71,28,1.58,USA
WONGORANTES Justine,0.0,0.0,0.0,0.0,0.0,28,0.0,USA
CASTILLO Brenda,0.0,0.0,0.0,0.0,0.0,23,0.0,DOM
DOMINGUEZ MARTINEZ Camil Inmaculada,0.0,0.0,0.0,0.0,0.0,23,0.0,DOM
EVE MEJIA Lisvel Elisa,10.0,19.0,16.0,45.0,0.43,23,0.87,DOM
GONZALEZ LOPEZ Gaila Ceneida,5.0,13.0,18.0,36.0,0.22,23,0.67,DOM
MARTE FRICA Niverka Dharlenis,1.0,12.0,27.0,40.0,0.04,23,0.68,DOM
MARTINEZ Brayelin Elizabeth,6.0,13.0,14.0,33.0,0.26,23,0.62,DOM
MARTINEZ CARO Larysmer,0.0,0.0,0.0,0.0,0.0,23,0.0,DOM
MARTINEZ Jineiry,16.0,15.0,34.0,65.0,0.7,23,1.5,DOM
PENA ISABEL Yonkaira Paola,1.0,8.0,7.0,16.0,0.04,23,0.23,DOM
RIVERA BRENS Prisilla,4.0,12.0,9.0,25.0,0.17,23,0.42,DOM
VARGAS VALDEZ Annerys Victoria,3.0,9.0,6.0,18.0,0.13,23,0.3,DOM
de la CRUZ de PENA Bethania,7.0,10.0,8.0,25.0,0.3,23,0.52,DOM
CHEMTAI Emmaculate,1.0,1.0,4.0,6.0,0.07,15,0.21,KEN
EMANIMAN Gladys Ekaru,4.0,11.0,10.0,25.0,0.27,15,0.67,KEN
JEPKIRUI Pamela,0.0,0.0,0.0,0.0,0.0,15,0.0,KEN
KAEI Lorine Chebet,4.0,9.0,9.0,22.0,0.27,15,0.63,KEN
KASAYA Leonida,1.0,7.0,11.0,19.0,0.07,15,0.48,KEN
KIPRONO Sharon Chepchumba,6.0,8.0,17.0,31.0,0.4,15,1.02,KEN
KUNDU Agripina Khayesi,0.0,0.0,0.0,0.0,0.0,15,0.0,KEN
LUSENAKA Joy,0.0,0.0,0.0,0.0,0.0,15,0.0,KEN
MOIM Mercy,4.0,4.0,9.0,17.0,0.27,15,0.59,KEN
MUKUVILANI Edith,4.0,14.0,11.0,29.0,0.27,15,0.73,KEN
MURAMBI Noel,0.0,2.0,0.0,2.0,0.0,15,0.01,KEN
WAIRIMU Jane Wacu,0.0,7.0,9.0,16.0,0.0,15,0.35,KEN
BULAICH SIMIAN Daniela,1.0,11.0,7.0,19.0,0.07,15,0.37,ARG
FARRIOL Bianca,7.0,16.0,17.0,40.0,0.47,15,1.14,ARG
FORTUNA Antonela,0.0,0.0,0.0,0.0,0.0,15,0.0,ARG
GERMANIER Sabrina Soledad,0.0,0.0,4.0,4.0,0.0,15,0.13,ARG
HERRERA RODRIGUEZ Candelaria Lucia,6.0,9.0,6.0,21.0,0.4,15,0.66,ARG
LAZCANO Julieta Constanza,2.0,15.0,10.0,27.0,0.13,15,0.57,ARG
MAYER Victoria,0.0,9.0,12.0,21.0,0.0,15,0.46,ARG
MERCADO Erika,6.0,11.0,9.0,26.0,0.4,15,0.77,ARG
NIZETICH Paula Yamila,1.0,6.0,3.0,10.0,0.07,15,0.21,ARG
NOSACH Eugenia,0.0,2.0,3.0,5.0,0.0,15,0.11,ARG
RIZZO Tatiana Soledad,0.0,0.0,1.0,1.0,0.0,15,0.03,ARG
RODRIGUEZ Elina Maria,0.0,2.0,3.0,5.0,0.0,15,0.11,ARG
AKOZ Simge Sebnem,0.0,0.0,0.0,0.0,0.0,25,0.0,TUR
AYDEMIR AKYOL Naz,4.0,10.0,5.0,19.0,0.16,25,0.3,TUR
BALADIN Hande,8.0,7.0,14.0,29.0,0.32,25,0.63,TUR
BOZ Meryem,6.0,13.0,10.0,29.0,0.24,25,0.49,TUR
CALISKAN Kubra,0.0,0.0,0.0,0.0,0.0,25,0.0,TUR
ERCAN Seyma,1.0,3.0,7.0,11.0,0.04,25,0.19,TUR
ERDEM DUNDAR Eda,18.0,30.0,48.0,96.0,0.72,25,1.8,TUR
GUNES Zehra,29.0,35.0,56.0,120.0,1.16,25,2.42,TUR
ISMAILOGLU Meliha,4.0,8.0,14.0,26.0,0.16,25,0.47,TUR
KARAKURT Ebrar,2.0,10.0,11.0,23.0,0.08,25,0.34,TUR
OZBAY Cansu,2.0,12.0,7.0,21.0,0.08,25,0.27,TUR
SENOGLU Tugba,3.0,4.0,4.0,11.0,0.12,25,0.22,TUR
DING Xia,1.0,7.0,17.0,25.0,0.06,17,0.6,CHN
GONG Xiangyu,4.0,19.0,23.0,46.0,0.24,17,1.02,CHN
LI Yingying,4.0,10.0,10.0,24.0,0.24,17,0.59,CHN
LIU Xiaotong,0.0,0.0,0.0,0.0,0.0,17,0.0,CHN
LIU Yanhan,0.0,0.0,1.0,1.0,0.0,17,0.03,CHN
WANG Mengjie,0.0,0.0,0.0,0.0,0.0,17,0.0,CHN
WANG Yuanyuan,6.0,10.0,11.0,27.0,0.35,17,0.74,CHN
YAN Ni,5.0,18.0,13.0,36.0,0.29,17,0.78,CHN
YAO Di,2.0,11.0,7.0,20.0,0.12,17,0.39,CHN
YUAN Xinyue,10.0,25.0,23.0,58.0,0.59,17,1.41,CHN
ZHANG Changning,8.0,16.0,17.0,41.0,0.47,17,1.06,CHN
ZHU Ting,4.0,10.0,7.0,21.0,0.24,17,0.5,CHN
BOSETTI Caterina Chiara,6.0,20.0,19.0,45.0,0.29,21,0.83,ITA
CHIRICHELLA Cristina,3.0,11.0,14.0,28.0,0.14,21,0.53,ITA
DANESI Anna,14.0,17.0,21.0,52.0,0.67,21,1.25,ITA
EGONU Paola Ogechi,8.0,18.0,20.0,46.0,0.38,21,0.94,ITA
FAHR Sarah Luisa,14.0,27.0,22.0,63.0,0.67,21,1.32,ITA
FOLIE Raphaela,3.0,2.0,2.0,7.0,0.14,21,0.2,ITA
MALINOV Ofelia,9.0,8.0,20.0,37.0,0.43,21,0.94,ITA
ORRO Alessia,1.0,6.0,7.0,14.0,0.05,21,0.24,ITA
PIETRINI Elena,2.0,10.0,9.0,21.0,0.1,21,0.36,ITA
SOROKAITE Indre,0.0,0.0,0.0,0.0,0.0,21,0.0,ITA
SYLLA Miryam Fatime,3.0,4.0,3.0,10.0,0.14,21,0.23,ITA
de GENNARO Monica,1.0,0.0,1.0,2.0,0.05,21,0.07,ITA
ENINA Ekaterina,1.0,4.0,3.0,8.0,0.04,23,0.13,ROC
FEDOROVTSEVA Arina,9.0,11.0,18.0,38.0,0.39,23,0.83,ROC
FETISOVA Irina,17.0,30.0,32.0,79.0,0.74,23,1.57,ROC
GONCHAROVA Nataliya,10.0,19.0,22.0,51.0,0.43,23,1.0,ROC
KOROLEVA Irina,20.0,29.0,41.0,90.0,0.87,23,1.89,ROC
LAZAREVA Anna,1.0,1.0,3.0,5.0,0.04,23,0.11,ROC
MATVEEVA Polina,0.0,2.0,1.0,3.0,0.0,23,0.03,ROC
PILIPENKO Daria,0.0,0.0,0.0,0.0,0.0,23,0.0,ROC
PODKOPAEVA Anna,0.0,0.0,0.0,0.0,0.0,23,0.0,ROC
SMIRNOVA Kseniia,1.0,1.0,0.0,2.0,0.04,23,0.05,ROC
STARTSEVA Evgeniya,5.0,18.0,32.0,55.0,0.22,23,0.99,ROC
VORONKOVA Irina,7.0,15.0,17.0,39.0,0.3,23,0.74,ROC
