Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
ARAKI Erika,7.0,18.0,29.0,54.0,0.39,18,1.29,JPN
HAYASHI Kotona,0.0,3.0,9.0,12.0,0.0,18,0.27,JPN
ISHII Yuki,0.0,2.0,5.0,7.0,0.0,18,0.15,JPN
ISHIKAWA Mayu,3.0,11.0,17.0,31.0,0.17,18,0.7,JPN
KOBATA Mako,0.0,0.0,1.0,1.0,0.0,18,0.03,JPN
KOGA Sarina,4.0,5.0,9.0,18.0,0.33,12,0.75,JPN
KUROGO Ai,4.0,13.0,16.0,33.0,0.22,18,0.74,JPN
MOMII Aki,4.0,5.0,16.0,25.0,0.22,18,0.69,JPN
OKUMURA Mai,0.0,0.0,2.0,2.0,0.0,18,0.06,JPN
SHIMAMURA Haruyo,5.0,23.0,45.0,73.0,0.28,18,1.66,JPN
TASHIRO Kanami,0.0,3.0,0.0,3.0,0.0,18,0.02,JPN
YAMADA Nichika,0.0,1.0,0.0,1.0,0.0,18,0.01,JPN
