Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
BULAICH SIMIAN Daniela,1.0,11.0,7.0,19.0,0.07,15,0.37,ARG
FARRIOL Bianca,7.0,16.0,17.0,40.0,0.47,15,1.14,ARG
FORTUNA Antonela,0.0,0.0,0.0,0.0,0.0,15,0.0,ARG
GERMANIER Sabrina Soledad,0.0,0.0,4.0,4.0,0.0,15,0.13,ARG
HERRERA RODRIGUEZ Candelaria Lucia,6.0,9.0,6.0,21.0,0.4,15,0.66,ARG
LAZCANO Julieta Constanza,2.0,15.0,10.0,27.0,0.13,15,0.57,ARG
MAYER Victoria,0.0,9.0,12.0,21.0,0.0,15,0.46,ARG
MERCADO Erika,6.0,11.0,9.0,26.0,0.4,15,0.77,ARG
NIZETICH Paula Yamila,1.0,6.0,3.0,10.0,0.07,15,0.21,ARG
NOSACH Eugenia,0.0,2.0,3.0,5.0,0.0,15,0.11,ARG
RIZZO Tatiana Soledad,0.0,0.0,1.0,1.0,0.0,15,0.03,ARG
RODRIGUEZ Elina Maria,0.0,2.0,3.0,5.0,0.0,15,0.11,ARG
