Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
CASTILLO Brenda,0.0,0.0,0.0,0.0,0.0,23,0.0,DOM
DOMINGUEZ MARTINEZ Camil Inmaculada,0.0,0.0,0.0,0.0,0.0,23,0.0,DOM
EVE MEJIA Lisvel Elisa,10.0,19.0,16.0,45.0,0.43,23,0.87,DOM
GONZALEZ LOPEZ Gaila Ceneida,5.0,13.0,18.0,36.0,0.22,23,0.67,DOM
MARTE FRICA Niverka Dharlenis,1.0,12.0,27.0,40.0,0.04,23,0.68,DOM
MARTINEZ Brayelin Elizabeth,6.0,13.0,14.0,33.0,0.26,23,0.62,DOM
MARTINEZ CARO Larysmer,0.0,0.0,0.0,0.0,0.0,23,0.0,DOM
MARTINEZ Jineiry,16.0,15.0,34.0,65.0,0.7,23,1.5,DOM
PENA ISABEL Yonkaira Paola,1.0,8.0,7.0,16.0,0.04,23,0.23,DOM
RIVERA BRENS Prisilla,4.0,12.0,9.0,25.0,0.17,23,0.42,DOM
VARGAS VALDEZ Annerys Victoria,3.0,9.0,6.0,18.0,0.13,23,0.3,DOM
de la CRUZ de PENA Bethania,7.0,10.0,8.0,25.0,0.3,23,0.52,DOM
