Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
CHEMTAI Emmaculate,1.0,1.0,4.0,6.0,0.07,15,0.21,KEN
EMANIMAN Gladys Ekaru,4.0,11.0,10.0,25.0,0.27,15,0.67,KEN
JEPKIRUI Pamela,0.0,0.0,0.0,0.0,0.0,15,0.0,KEN
KAEI Lorine Chebet,4.0,9.0,9.0,22.0,0.27,15,0.63,KEN
KASAYA Leonida,1.0,7.0,11.0,19.0,0.07,15,0.48,KEN
KIPRONO Sharon Chepchumba,6.0,8.0,17.0,31.0,0.4,15,1.02,KEN
KUNDU Agripina Khayesi,0.0,0.0,0.0,0.0,0.0,15,0.0,KEN
LUSENAKA Joy,0.0,0.0,0.0,0.0,0.0,15,0.0,KEN
MOIM Mercy,4.0,4.0,9.0,17.0,0.27,15,0.59,KEN
MUKUVILANI Edith,4.0,14.0,11.0,29.0,0.27,15,0.73,KEN
MURAMBI Noel,0.0,2.0,0.0,2.0,0.0,15,0.01,KEN
WAIRIMU Jane Wacu,0.0,7.0,9.0,16.0,0.0,15,0.35,KEN
