Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
ALEKSIC Maja,6.0,7.0,6.0,19.0,0.24,25,0.39,SRB
BJELICA Ana,0.0,2.0,2.0,4.0,0.0,25,0.05,SRB
BLAGOJEVIC Jelena,1.0,5.0,6.0,12.0,0.04,25,0.18,SRB
BOSKOVIC Tijana,15.0,14.0,22.0,51.0,0.6,25,1.1,SRB
BUSA Bianka,2.0,10.0,11.0,23.0,0.08,25,0.34,SRB
MIHAJLOVIC Brankica,4.0,4.0,2.0,10.0,0.16,25,0.22,SRB
MILENKOVIC Bojana,11.0,12.0,14.0,37.0,0.44,25,0.77,SRB
MIRKOVIC Sladjana,1.0,3.0,2.0,6.0,0.04,25,0.09,SRB
OGNJENOVIC Maja,4.0,15.0,30.0,49.0,0.16,25,0.82,SRB
POPOVIC Mina,18.0,35.0,42.0,95.0,0.72,25,1.7,SRB
POPOVIC Silvija,0.0,0.0,0.0,0.0,0.0,25,0.0,SRB
RASIC Milena,17.0,18.0,20.0,55.0,0.68,25,1.15,SRB
