Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
AKOZ Simge Sebnem,0.0,0.0,0.0,0.0,0.0,25,0.0,TUR
AYDEMIR AKYOL Naz,4.0,10.0,5.0,19.0,0.16,25,0.3,TUR
BALADIN Hande,8.0,7.0,14.0,29.0,0.32,25,0.63,TUR
BOZ Meryem,6.0,13.0,10.0,29.0,0.24,25,0.49,TUR
CALISKAN Kubra,0.0,0.0,0.0,0.0,0.0,25,0.0,TUR
ERCAN Seyma,1.0,3.0,7.0,11.0,0.04,25,0.19,TUR
ERDEM DUNDAR Eda,18.0,30.0,48.0,96.0,0.72,25,1.8,TUR
GUNES Zehra,29.0,35.0,56.0,120.0,1.16,25,2.42,TUR
ISMAILOGLU Meliha,4.0,8.0,14.0,26.0,0.16,25,0.47,TUR
KARAKURT Ebrar,2.0,10.0,11.0,23.0,0.08,25,0.34,TUR
OZBAY Cansu,2.0,12.0,7.0,21.0,0.08,25,0.27,TUR
SENOGLU Tugba,3.0,4.0,4.0,11.0,0.12,25,0.22,TUR
