No.,Name,Points,Errors,In-Play,Attempts,%
16,RODRIGUES Fernanda,22.0,3,15,40,47.5
10,BRAGA GUIMARAES Gabriela,17.0,6,20,43,25.58
11,CAIXETA Tandara,10.0,7,18,35,8.57
2,de OLIVEIRA SAAD GATTAZ Caroline,12.0,2,5,19,
15,da SILVA Ana Carolina,9.0,2,3,14,
7,MONTIBELLER Rosamaria,1.0,1,1,3,
9,RATZKE Roberta Silva,1.0,,, 1,
8,SILVA CARNEIRO Macris Fernanda,,,, ,
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,72.0,21,62,155,32.9
