No.,Name,Points,Errors,In-Play,Total Attempts,by Set
16,RODRIGUES Fernanda,2.0,1,18,21,0.4
 2,de OLIVEIRA SAAD GATTAZ Caroline,2.0,1,15,18,0.4
10,BRAGA GUIMARAES Gabriela,2.0,, 13,15,0.4
15,da SILVA Ana Carolina,1.0,1,19,21,0.2
 8,SILVA CARNEIRO Macris Fernanda,1.0,1,10,12,0.2
11,CAIXETA Tandara,,, 12,12,0.0
 9,RATZKE Roberta Silva,, 1,5,6,0.0
12,PEREIRA Natalia,,, 3,3,0.0
 7,MONTIBELLER Rosamaria,,, 1,1,0.0
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
18,BRAIT Camila,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,8.0,5,96,109,1.6
