No.,Name,Excellents,Errors,In-Play,Attempts,%
16,PENA ISABEL Yonkaira Paola,22,5.0,21,48,45.83
20,MARTINEZ Brayelin Elizabeth,6,1.0,13,20,
5,CASTILLO Brenda,13,, 1,14,
25,MARTINEZ CARO Larysmer,3,, 2,5,
3,EVE MEJIA Lisvel Elisa,1,1.0,3,5,
18,de la CRUZ de PENA Bethania,,2.0,2,4,
14,RIVERA BRENS Prisilla,1,, 1,2,
7,MARTE FRICA Niverka Dharlenis,,1.0,1,2,
21,MARTINEZ Jineiry,,, 1,1,
1,VARGAS VALDEZ Annerys Victoria,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
23,GONZALEZ LOPEZ Gaila Ceneida,,,, ,
ls,,46,10.0,45,101,45.54
