No.,Name,Points,Errors,In-Play,Total Attempts,by Set
21,MARTINEZ Jineiry,3.0,4,8,15,0.6
20,MARTINEZ Brayelin Elizabeth,3.0,2,6,11,0.6
 3,EVE MEJIA Lisvel Elisa,2.0,3,2,7,0.4
23,GONZALEZ LOPEZ Gaila Ceneida,1.0,4,4,9,0.2
16,PENA ISABEL Yonkaira Paola,1.0,1,2,4,0.2
 7,MARTE FRICA Niverka Dharlenis,, 3,9,12,0.0
18,de la CRUZ de PENA Bethania,, 1,1,2,0.0
1,VARGAS VALDEZ Annerys Victoria,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
14,RIVERA BRENS Prisilla,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,10.0,18,32,60,2.0
