No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 9,RATZKE Roberta Silva,8,1.0,1,10,2.67
10,BRAGA GUIMARAES Gabriela,8,, 1,9,2.67
12,PEREIRA Natalia,5,1.0,2,8,1.67
18,BRAIT Camila,5,2.0,1,8,1.67
11,CAIXETA Tandara,4,1.0,3,8,1.33
16,RODRIGUES Fernanda,4,2.0,, 6,1.33
15,da SILVA Ana Carolina,4,1.0,, 5,1.33
 7,MONTIBELLER Rosamaria,2,, 1,3,0.67
 2,de OLIVEIRA SAAD GATTAZ Caroline,1,1.0,3,5,0.33
8,SILVA CARNEIRO Macris Fernanda,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,41,9.0,12,62,13.67
