No.,Name,Points,Errors,In-Play,Total Attempts,by Set
15,da SILVA Ana Carolina,2.0,2,15,19,0.67
 2,de OLIVEIRA SAAD GATTAZ Caroline,2.0,, 7,9,0.67
 9,RATZKE Roberta Silva,,, 14,14,0.0
10,BRAGA GUIMARAES Gabriela,, 1,9,10,0.0
20,CORREA Ana Beatriz,, 2,4,6,0.0
11,CAIXETA Tandara,,, 5,5,0.0
 7,MONTIBELLER Rosamaria,,, 4,4,0.0
16,RODRIGUES Fernanda,,, 3,3,0.0
12,PEREIRA Natalia,, 1,2,3,0.0
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,, 1,1,0.0
8,SILVA CARNEIRO Macris Fernanda,,,, ,
18,BRAIT Camila,,,, ,
ls,,4.0,6,64,74,1.33
