No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
18,BRAIT Camila,10,1.0,2,13,3.33
10,BRAGA GUIMARAES Gabriela,9,3.0,2,14,3.0
16,RODRIGUES Fernanda,8,1.0,3,12,2.67
11,CAIXETA Tandara,5,1.0,1,7,1.67
 2,de OLIVEIRA SAAD GATTAZ Caroline,4,,, 4,1.33
 8,SILVA CARNEIRO Macris Fernanda,3,5.0,2,10,1.0
15,da SILVA Ana Carolina,3,2.0,, 5,1.0
 7,MONTIBELLER Rosamaria,1,1.0,, 2,0.33
 9,RATZKE Roberta Silva,,1.0,, 1,0.0
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,43,15.0,10,68,14.33
