No.,Name,Points,Errors,In-Play,Attempts,%
14,RIVERA BRENS Prisilla,9.0,1,8,18,44.44
18,de la CRUZ de PENA Bethania,5.0,5,6,16,
23,GONZALEZ LOPEZ Gaila Ceneida,4.0,, 6,10,
21,MARTINEZ Jineiry,4.0,3,2,9,
3,EVE MEJIA Lisvel Elisa,7.0,, 1,8,
16,PENA ISABEL Yonkaira Paola,2.0,4,2,8,
1,VARGAS VALDEZ Annerys Victoria,3.0,,, 3,
7,MARTE FRICA Niverka Dharlenis,,, 2,2,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
20,MARTINEZ Brayelin Elizabeth,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,34.0,13,27,74,28.38
