No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 3,EVE MEJIA Lisvel Elisa,6.0,7,6,19,2.0
21,MARTINEZ Jineiry,2.0,1,4,7,0.67
18,de la CRUZ de PENA Bethania,2.0,2,1,5,0.67
14,RIVERA BRENS Prisilla,2.0,3,, 5,0.67
 7,MARTE FRICA Niverka Dharlenis,1.0,1,5,7,0.33
23,GONZALEZ LOPEZ Gaila Ceneida,, 2,1,3,0.0
16,PENA ISABEL Yonkaira Paola,, 1,, 1,0.0
1,VARGAS VALDEZ Annerys Victoria,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
20,MARTINEZ Brayelin Elizabeth,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,13.0,17,17,47,4.33
