No.,Name,Points,Errors,In-Play,Total Attempts,by Set
23,GONZALEZ LOPEZ Gaila Ceneida,3.0,1,5,9,1.0
21,MARTINEZ Jineiry,1.0,1,9,11,0.33
14,RIVERA BRENS Prisilla,1.0,1,7,9,0.33
18,de la CRUZ de PENA Bethania,1.0,2,6,9,0.33
 1,VARGAS VALDEZ Annerys Victoria,1.0,, 7,8,0.33
 7,MARTE FRICA Niverka Dharlenis,,, 17,17,0.0
 3,EVE MEJIA Lisvel Elisa,, 3,5,8,0.0
16,PENA ISABEL Yonkaira Paola,,, 2,2,0.0
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
20,MARTINEZ Brayelin Elizabeth,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,7.0,8,58,73,2.33
