No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 8,SILVA CARNEIRO Macris Fernanda,27,1.0,27,55,9.0
 9,RATZKE Roberta Silva,9,, 16,25,3.0
15,da SILVA Ana Carolina,2,, 1,3,0.67
11,CAIXETA Tandara,1,, 1,2,0.33
18,BRAIT Camila,,, 2,2,0.0
 2,de OLIVEIRA SAAD GATTAZ Caroline,,, 1,1,0.0
16,RODRIGUES Fernanda,,, 1,1,0.0
7,MONTIBELLER Rosamaria,,,, ,
10,BRAGA GUIMARAES Gabriela,,,, ,
12,PEREIRA Natalia,,,, ,
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,,, ,
20,CORREA Ana Beatriz,,,, ,
ls,,39,1.0,49,89,13.0
