No.,Name,Points,Errors,In-Play,Total Attempts,by Set
15,da SILVA Ana Carolina,1.0,, 17,18,0.33
10,BRAGA GUIMARAES Gabriela,,-, 17,17,0.0
16,RODRIGUES Fernanda,,- 1,10,11,0.0
 2,de OLIVEIRA SAAD GATTAZ Caroline,,- 1,7,8,0.0
 8,SILVA CARNEIRO Macris Fernanda,,- 2,4,6,0.0
 9,RATZKE Roberta Silva,,-, 5,5,0.0
12,PEREIRA Natalia,,-, 5,5,0.0
11,CAIXETA Tandara,,- 1,2,3,0.0
 7,MONTIBELLER Rosamaria,,-, 1,1,0.0
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,-, 1,1,0.0
18,BRAIT Camila,,-,, ,
20,CORREA Ana Beatriz,,-,, ,
ls,,1.0,5,69,75,0.33
