No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 5,CASTILLO Brenda,12,8.0,2,22,3.0
14,RIVERA BRENS Prisilla,8,6.0,2,16,2.0
18,de la CRUZ de PENA Bethania,5,7.0,1,13,1.25
23,GONZALEZ LOPEZ Gaila Ceneida,5,, 1,6,1.25
20,MARTINEZ Brayelin Elizabeth,5,1.0,, 6,1.25
 3,EVE MEJIA Lisvel Elisa,4,3.0,2,9,1.0
21,MARTINEZ Jineiry,4,,, 4,1.0
 7,MARTE FRICA Niverka Dharlenis,3,6.0,4,13,0.75
25,MARTINEZ CARO Larysmer,2,1.0,2,5,0.5
16,PENA ISABEL Yonkaira Paola,2,2.0,, 4,0.5
 6,DOMINGUEZ MARTINEZ Camil Inmaculada,,1.0,, 1,0.0
1,VARGAS VALDEZ Annerys Victoria,,,, ,
ls,,50,35.0,14,99,12.5
