No.,Name,Points,Errors,In-Play,Attempts,%
20,MARTINEZ Brayelin Elizabeth,18.0,6,23,47,25.53
16,PENA ISABEL Yonkaira Paola,14.0,5,17,36,25.0
21,MARTINEZ Jineiry,9.0,3,7,19,
14,RIVERA BRENS Prisilla,8.0,, 8,16,
23,GONZALEZ LOPEZ Gaila Ceneida,4.0,4,8,16,
3,EVE MEJIA Lisvel Elisa,1.0,2,1,4,
18,de la CRUZ de PENA Bethania,1.0,1,1,3,
7,MARTE FRICA Niverka Dharlenis,,, 2,2,
1,VARGAS VALDEZ Annerys Victoria,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,55.0,21,67,143,23.78
