No.,Name,Points,Errors,In-Play,Total Attempts,by Set
21,MARTINEZ Jineiry,3.0,3,7,13,0.6
20,MARTINEZ Brayelin Elizabeth,2.0,3,5,10,0.4
23,GONZALEZ LOPEZ Gaila Ceneida,2.0,3,3,8,0.4
 3,EVE MEJIA Lisvel Elisa,1.0,7,2,10,0.2
14,RIVERA BRENS Prisilla,1.0,1,2,4,0.2
 7,MARTE FRICA Niverka Dharlenis,, 4,7,11,0.0
16,PENA ISABEL Yonkaira Paola,, 4,3,7,0.0
18,de la CRUZ de PENA Bethania,,, 1,1,0.0
1,VARGAS VALDEZ Annerys Victoria,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,9.0,25,30,64,1.8
