No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 7,MARTE FRICA Niverka Dharlenis,3.0,2,8,13,0.6
16,PENA ISABEL Yonkaira Paola,2.0,2,16,20,0.4
 3,EVE MEJIA Lisvel Elisa,1.0,1,15,17,0.2
21,MARTINEZ Jineiry,1.0,3,11,15,0.2
20,MARTINEZ Brayelin Elizabeth,, 1,16,17,0.0
14,RIVERA BRENS Prisilla,, 1,7,8,0.0
18,de la CRUZ de PENA Bethania,, 1,4,5,0.0
23,GONZALEZ LOPEZ Gaila Ceneida,, 3,2,5,0.0
1,VARGAS VALDEZ Annerys Victoria,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,7.0,14,79,100,1.4
