No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 7,MARTE FRICA Niverka Dharlenis,20,1.0,46,67,6.67
 6,DOMINGUEZ MARTINEZ Camil Inmaculada,2,, 1,3,0.67
 5,CASTILLO Brenda,1,, 5,6,0.33
14,RIVERA BRENS Prisilla,1,, 2,3,0.33
 1,VARGAS VALDEZ Annerys Victoria,,, 1,1,0.0
 3,EVE MEJIA Lisvel Elisa,,, 1,1,0.0
21,MARTINEZ Jineiry,,, 1,1,0.0
16,PENA ISABEL Yonkaira Paola,,,, ,
18,de la CRUZ de PENA Bethania,,,, ,
20,MARTINEZ Brayelin Elizabeth,,,, ,
23,GONZALEZ LOPEZ Gaila Ceneida,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,24,1.0,57,82,8.0
