No.,Name,Points,Errors,In-Play,Total Attempts,by Set
21,MARTINEZ Jineiry,3.0,1,1,5,1.0
14,RIVERA BRENS Prisilla,1.0,4,1,6,0.33
23,GONZALEZ LOPEZ Gaila Ceneida,1.0,1,, 2,0.33
 1,VARGAS VALDEZ Annerys Victoria,, 2,1,3,0.0
 3,EVE MEJIA Lisvel Elisa,,, 2,2,0.0
18,de la CRUZ de PENA Bethania,,, 2,2,0.0
 7,MARTE FRICA Niverka Dharlenis,, 1,1,2,0.0
16,PENA ISABEL Yonkaira Paola,, 2,, 2,0.0
20,MARTINEZ Brayelin Elizabeth,, 2,, 2,0.0
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,5.0,13,8,26,1.67
