No.,Name,Points,Errors,In-Play,Total Attempts,by Set
20,MARTINEZ Brayelin Elizabeth,, 1,10,11,0.0
21,MARTINEZ Jineiry,,, 8,8,0.0
 7,MARTE FRICA Niverka Dharlenis,, 1,6,7,0.0
14,RIVERA BRENS Prisilla,, 1,5,6,0.0
18,de la CRUZ de PENA Bethania,,, 5,5,0.0
 1,VARGAS VALDEZ Annerys Victoria,, 1,4,5,0.0
16,PENA ISABEL Yonkaira Paola,,, 3,3,0.0
23,GONZALEZ LOPEZ Gaila Ceneida,, 2,1,3,0.0
 3,EVE MEJIA Lisvel Elisa,, 1,1,2,0.0
25,MARTINEZ CARO Larysmer,,, 1,1,0.0
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
ls,,,7,44,51,0.0
