No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
12,RIZZO Tatiana Soledad,10,7.0,7,24,3.33
 4,BULAICH SIMIAN Daniela,8,3.0,2,13,2.67
16,MERCADO Erika,5,5.0,4,14,1.67
 3,NIZETICH Paula Yamila,4,7.0,1,12,1.33
17,HERRERA RODRIGUEZ Candelaria Lucia,2,,, 2,0.67
14,MAYER Victoria,1,2.0,4,7,0.33
13,FARRIOL Bianca,1,,, 1,0.33
 2,GERMANIER Sabrina Soledad,,1.0,, 1,0.0
1,RODRIGUEZ Elina Maria,,,, ,
6,NOSACH Eugenia,,,, ,
11,LAZCANO Julieta Constanza,,,, ,
15,FORTUNA Antonela,,,, ,
ls,,31,25.0,18,74,10.33
