No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
12,RIZZO Tatiana Soledad,6,7.0,3,16,2.0
 1,RODRIGUEZ Elina Maria,6,4.0,1,11,2.0
14,MAYER Victoria,5,4.0,1,10,1.67
16,MERCADO Erika,4,5.0,1,10,1.33
 4,BULAICH SIMIAN Daniela,4,2.0,, 6,1.33
 3,NIZETICH Paula Yamila,3,3.0,1,7,1.0
 2,GERMANIER Sabrina Soledad,3,2.0,, 5,1.0
15,FORTUNA Antonela,3,1.0,, 4,1.0
13,FARRIOL Bianca,1,, 1,2,0.33
11,LAZCANO Julieta Constanza,,1.0,1,2,0.0
6,NOSACH Eugenia,,,, ,
17,HERRERA RODRIGUEZ Candelaria Lucia,,,, ,
ls,,35,29.0,9,73,11.67
